protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME004912_9___23939___25288___+___PBCFILAN_00689	449	S1_8	443	7.2e-122	400.0	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME060853_3___106071___107624___+___JEGJLKHA_00372	517	S1_16	444	8.1e-169	554.6	1	436	31	511	98.0	1	high		
GUT_GENOME004912_178___11417___12862___-___PBCFILAN_05303	481	S1_46	459	6.5e-195	640.8	2	457	3	462	99.1	1	high		
GUT_GENOME100553_90___17751___19196___-___GOHFGBAI_04698	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME029446_19___16504___17970___-___OCLNPGGP_01606	488	S1_46	459	2.7e-150	493.7	2	456	2	445	98.9	1	high		
GUT_GENOME023674_17___57514___58935___-___KNNAIKAL_02042	473	S1_27	454	1.3e-152	501.7	2	453	4	456	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME025112_52___38887___40503___+___LNFPPNAB_04033	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME000264_23___73719___75335___-___EJGDIAPN_05074	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME080798_122___26057___27562___-___HAGIENJO_02796	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME084445_395___7496___9040___-___KKOGDCMD_02931	514	S1_108	495	3.8e-122	401.5	3	490	21	501	98.4	1	high		
GUT_GENOME096460_369___36___1181___+___ADMJHJAO_06544	381	S1_46	459	1.2e-141	465.2	106	458	3	364	76.7	1	high		
GUT_GENOME096460_142___826___2208___-___ADMJHJAO_03730	460	S1_17	425	4.3e-130	427.0	2	410	6	453	96.0	1	high	3.1.6.- 	
GUT_GENOME091102_13___13593___15089___+___GEHODAGD_01380	498	S1_64	483	2.6e-193	636.4	1	483	3	486	99.8	1	high		
GUT_GENOME070852_265___6309___7730___+___GEACAIOJ_02214	473	S1_46	459	4.9e-97	318.1	2	447	3	467	96.9	1	high		
GUT_GENOME070852_196___24___1052___+___GEACAIOJ_01722	342	S1_11	498	3.6e-122	401.5	146	489	1	336	68.9	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME082873_130___29762___31228___+___INFABIKJ_03899	488	S1_52	473	7e-224	736.8	2	472	2	485	99.4	1	high		
GUT_GENOME000264_4___334857___336419___-___EJGDIAPN_01619	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME070852_476___15901___17367___-___GEACAIOJ_04018	488	S1_46	459	6.8e-151	495.7	2	456	2	445	98.9	1	high		
GUT_GENOME096207_4___768772___770436___-___FPAHEDEG_06369	554	S1_46	459	8.9e-141	462.3	1	451	6	447	98.0	1	high		
GUT_GENOME096207_1___1274349___1275713___-___FPAHEDEG_01143	454	S1_14	426	5.2e-163	535.4	2	420	6	415	98.1	1	high		
GUT_GENOME084445_447___2936___4402___+___KKOGDCMD_03253	488	S1_46	459	4.6e-202	664.4	2	458	6	471	99.3	1	high		
GUT_GENOME100553_7___75498___76955___-___GOHFGBAI_00910	485	S1_52	473	1.5e-211	696.2	4	473	1	483	99.2	1	high		
GUT_GENOME070852_573___204___1820___-___GEACAIOJ_04765	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME084445_651___7690___9354___-___KKOGDCMD_04457	554	S1_46	459	2.7e-140	460.8	1	451	6	447	98.0	1	high		
GUT_GENOME096207_1___814825___816291___-___FPAHEDEG_00735	488	S1_46	459	6.1e-202	664.0	2	458	6	471	99.3	1	high		
GUT_GENOME082304_73___166110___167612___+___HJIBOKND_03776	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME096460_319___4784___6205___-___ADMJHJAO_05777	473	S1_99	469	5.6e-257	845.8	5	469	2	465	98.9	1	high		
GUT_GENOME029446_73___20803___22338___-___OCLNPGGP_03715	511	S1_51	487	1.2e-150	495.4	2	486	2	510	99.4	1	high		
GUT_GENOME084445_450___57277___58758___-___KKOGDCMD_03317	493	S1_108	495	3.5e-224	738.0	2	490	4	486	98.6	1	high		
GUT_GENOME082873_82___38929___40545___+___INFABIKJ_02301	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME100553_9___55006___56481___+___GOHFGBAI_01066	491	S1_64	483	1.9e-220	725.9	1	483	3	487	99.8	1	high		
GUT_GENOME004912_146___7068___8486___-___PBCFILAN_04878	472	S1_27	454	4.1e-155	509.9	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME093573_148___2610___3947___+___GEGFECFM_05204	445	S1_83	449	1.6e-220	725.3	2	442	2	445	98.0	1	high		
GUT_GENOME004912_12___16383___17834___-___PBCFILAN_00880	483	S1_95	479	5.1e-221	727.3	1	478	6	480	99.6	1	high		
GUT_GENOME063111_74___17751___19196___-___MLIDNPGI_04550	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME000264_4___132775___134280___-___EJGDIAPN_01442	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME100553_7___72404___73966___-___GOHFGBAI_00908	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME096207_2___1000422___1001735___-___FPAHEDEG_04518	437	S1_46	459	8.7e-92	300.8	27	443	8	434	90.6	1	high		
GUT_GENOME023674_17___58970___60520___-___KNNAIKAL_02043	516	S1_67	492	3.4e-209	688.2	2	491	3	494	99.4	1	high		
GUT_GENOME082304_96___121407___122912___+___HJIBOKND_05241	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME084445_320___7083___8504___-___KKOGDCMD_02367	473	S1_46	459	1.6e-95	313.2	2	447	3	467	96.9	1	high		
GUT_GENOME091102_32___28083___29537___+___GEHODAGD_02554	484	S1_73	463	8.8e-98	320.8	2	455	2	474	97.8	1	several good hits		 good hit with these HMMs: S1_73(320.8);S1_52(320.5);S1_59(319.7);S1_46(319.8);S1_55(317.0);S1_54(315.3)
GUT_GENOME093573_134___3790___5253___+___GEGFECFM_05001	487	S1_55	499	3.6e-166	546.3	4	498	2	484	99.0	1	high		
GUT_GENOME096207_3___453078___454541___+___FPAHEDEG_05091	487	S1_55	499	3.4e-167	549.7	4	498	2	484	99.0	1	high		
GUT_GENOME063111_64___14434___15969___-___MLIDNPGI_04197	511	S1_51	487	1.7e-149	491.7	2	486	2	510	99.4	1	high		
GUT_GENOME096460_284___45___1466___+___ADMJHJAO_05033	473	S1_46	459	1.4e-95	313.4	2	447	3	467	96.9	1	high		
GUT_GENOME096207_1___2498623___2500137___-___FPAHEDEG_02194	504	S1_11	498	9.4e-187	614.5	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME029446_11___61222___62571___-___OCLNPGGP_01128	449	S1_8	443	7.2e-122	400.0	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME082304_61___23725___25389___-___HJIBOKND_03261	554	S1_46	459	5.4e-140	459.8	1	451	6	447	98.0	1	high		
GUT_GENOME025112_8___82745___84109___-___LNFPPNAB_01027	454	S1_46	459	1.7e-101	332.9	3	443	2	451	95.9	1	high		
GUT_GENOME060853_9___78333___79754___+___JEGJLKHA_01011	473	S1_16	444	8.8e-169	554.5	1	433	29	471	97.3	1	high		
GUT_GENOME100553_21___58004___59353___-___GOHFGBAI_01974	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME091102_92___18341___19816___+___GEHODAGD_04549	491	S1_43	470	7.3e-225	739.9	2	470	3	468	99.6	1	high		
GUT_GENOME063111_51___44887___46398___+___MLIDNPGI_03692	503	S1_15	471	1.4e-170	560.9	2	468	18	481	98.9	1	high	3.1.6.4 	
GUT_GENOME004912_68___13089___14624___+___PBCFILAN_03222	511	S1_51	487	1.2e-150	495.4	2	486	2	510	99.4	1	high		
GUT_GENOME025112_51___31218___32693___+___LNFPPNAB_03976	491	S1_43	470	1.7e-225	742.0	2	470	3	468	99.6	1	high		
GUT_GENOME096207_1___752885___754249___-___FPAHEDEG_00684	454	S1_30	463	1.5e-169	557.5	4	461	2	451	98.7	1	high		
GUT_GENOME023674_158___4471___5937___+___KNNAIKAL_06070	488	S1_46	459	6.1e-202	664.0	2	458	6	471	99.3	1	high		
GUT_GENOME063111_36___2473___3810___+___MLIDNPGI_02988	445	S1_83	449	1.8e-220	725.1	2	442	2	445	98.0	1	high		
GUT_GENOME100553_6___15155___16621___-___GOHFGBAI_00761	488	S1_52	473	7e-224	736.8	2	472	2	485	99.4	1	high		
GUT_GENOME029446_1___32029___33540___-___OCLNPGGP_00026	503	S1_55	499	1.2e-243	801.8	2	499	2	500	99.6	1	high		
GUT_GENOME096460_79___52895___54391___-___ADMJHJAO_02562	498	S1_64	483	3.2e-193	636.1	1	483	3	486	99.8	1	high		
GUT_GENOME100553_112___2594___3931___+___GOHFGBAI_05192	445	S1_83	449	1.8e-220	725.1	2	442	2	445	98.0	1	high		
GUT_GENOME023674_35___42121___43542___-___KNNAIKAL_03156	473	S1_99	469	3.4e-257	846.5	5	469	2	465	98.9	1	high		
GUT_GENOME090241_103___10409___11875___-___BJLFBJEB_01026	488	S1_46	459	3e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME091102_29___28772___30286___-___GEHODAGD_02401	504	S1_11	498	1.1e-184	607.7	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME070852_44___15440___16906___-___GEACAIOJ_00344	488	S1_52	473	3.8e-223	734.4	2	472	2	485	99.4	1	high		
GUT_GENOME091102_92___3742___5208___-___GEHODAGD_04540	488	S1_46	459	2.8e-150	493.7	2	456	2	445	98.9	1	high		
GUT_GENOME023674_73___19218___20669___+___KNNAIKAL_04631	483	S1_95	479	1.5e-221	729.1	1	478	6	480	99.6	1	high		
GUT_GENOME090241_117___2643___4139___+___BJLFBJEB_01211	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME082873_174___54254___55816___-___INFABIKJ_05577	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME091102_16___58333___59811___+___GEHODAGD_01634	492	S1_46	459	8.9e-92	300.8	2	444	4	439	96.3	1	high		
GUT_GENOME100553_5___10865___12370___-___GOHFGBAI_00651	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME023674_82___14625___16094___+___KNNAIKAL_04891	489	S1_61	451	3.7e-208	684.6	1	450	2	455	99.6	1	high		
GUT_GENOME080798_183___25953___27419___+___HAGIENJO_03899	488	S1_52	473	7e-224	736.8	2	472	2	485	99.4	1	high		
GUT_GENOME091102_120___11517___12935___+___GEHODAGD_05087	472	S1_27	454	8.6e-154	505.6	2	453	2	454	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME096207_4___521375___522910___+___FPAHEDEG_06144	511	S1_51	487	1.2e-150	495.4	2	486	2	510	99.4	1	high		
GUT_GENOME070852_226___23073___24536___+___GEACAIOJ_01957	487	S1_55	499	3.6e-166	546.3	4	498	2	484	99.0	1	high		
GUT_GENOME004912_19___38031___39452___+___PBCFILAN_01281	473	S1_99	469	2e-256	844.0	5	469	2	465	98.9	1	high		
GUT_GENOME090241_110___7590___9065___-___BJLFBJEB_01125	491	S1_64	483	3.9e-220	724.8	1	483	3	487	99.8	1	high		
GUT_GENOME082873_166___22478___23944___+___INFABIKJ_05248	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME070852_265___7743___9221___+___GEACAIOJ_02215	492	S1_46	459	4.1e-91	298.6	2	444	4	439	96.3	1	low		
GUT_GENOME100553_40___37209___38873___+___GOHFGBAI_03026	554	S1_46	459	1.6e-140	461.5	1	451	6	447	98.0	1	high		
GUT_GENOME025112_83___25074___26585___-___LNFPPNAB_05123	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME084445_343___4476___5945___+___KKOGDCMD_02568	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME029446_77___11048___12361___-___OCLNPGGP_03807	437	S1_46	459	8.7e-92	300.8	27	443	8	434	90.6	1	high		
GUT_GENOME023674_3___190738___192204___+___KNNAIKAL_00676	488	S1_52	473	6.5e-225	740.2	2	472	2	485	99.4	1	high		
GUT_GENOME082873_144___144291___145655___+___INFABIKJ_04494	454	S1_46	459	1.7e-101	332.9	3	443	2	451	95.9	1	high		
GUT_GENOME025112_110___12933___14399___-___LNFPPNAB_05720	488	S1_46	459	3e-202	665.0	2	458	6	471	99.3	1	high		
GUT_GENOME084445_251___1923___2525___-___KKOGDCMD_01873	200	S1_99	469	8.3e-101	330.9	277	469	1	192	40.9	1	high		
GUT_GENOME096460_117___18250___19704___+___ADMJHJAO_03290	484	S1_73	463	1.8e-97	319.7	2	455	2	474	97.8	1	high		
GUT_GENOME029446_128___2184___3647___+___OCLNPGGP_04874	487	S1_55	499	3.4e-167	549.7	4	498	2	484	99.0	1	high		
GUT_GENOME000264_1___711802___713271___-___EJGDIAPN_00584	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME060853_2___112754___114187___+___JEGJLKHA_00262	477	S1_7	456	1e-167	551.4	2	448	26	472	97.8	1	high	3.1.6.13 3.1.6.- 	
GUT_GENOME060853_19___36963___38537___-___JEGJLKHA_01672	524	S1_11	498	6.2e-232	763.6	5	484	31	519	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME091102_32___23773___25323___+___GEHODAGD_02551	516	S1_67	492	3.4e-209	688.2	2	491	3	494	99.4	1	high		
GUT_GENOME090241_466___11554___12903___-___BJLFBJEB_04972	449	S1_8	443	3.8e-122	400.9	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME091102_86___441___1943___-___GEHODAGD_04403	500	S1_82	464	2.2e-237	780.9	2	461	3	468	98.9	1	high		
GUT_GENOME096460_307___10593___12062___-___ADMJHJAO_05492	489	S1_61	451	4e-208	684.5	1	450	2	455	99.6	1	high		
GUT_GENOME082304_108___42970___44445___+___HJIBOKND_05817	491	S1_43	470	2.1e-225	741.6	2	470	3	468	99.6	1	high		
GUT_GENOME000264_1___720094___721560___+___EJGDIAPN_00590	488	S1_46	459	1.6e-150	494.4	2	456	2	445	98.9	1	high		
GUT_GENOME023674_28___41402___42904___-___KNNAIKAL_02760	500	S1_82	464	2.2e-237	780.9	2	461	3	468	98.9	1	high		
GUT_GENOME063111_104___14248___15750___+___MLIDNPGI_05347	500	S1_82	464	2.1e-237	781.0	2	461	3	468	98.9	1	high		
GUT_GENOME025112_115___15133___16353___-___LNFPPNAB_05799	406	S1_52	473	7.2e-173	568.6	83	472	1	403	82.2	1	high		
GUT_GENOME091102_18___62964___64415___+___GEHODAGD_01780	483	S1_95	479	1.5e-221	729.1	1	478	6	480	99.6	1	high		
GUT_GENOME084445_680___3645___5150___+___KKOGDCMD_04641	501	S1_64	483	1.4e-189	624.0	1	482	3	490	99.6	1	high		
GUT_GENOME096460_220___12473___14002___+___ADMJHJAO_04697	509	S1_52	473	1.4e-208	686.3	4	473	25	507	99.2	1	high		
GUT_GENOME004912_146___14154___15617___-___PBCFILAN_04882	487	S1_55	499	3.4e-167	549.7	4	498	2	484	99.0	1	high		
GUT_GENOME100553_40___38886___40502___+___GOHFGBAI_03027	538	S1_4	536	5.6e-179	588.9	1	513	4	530	95.5	1	high	3.1.6.1 	
GUT_GENOME025112_26___47823___49187___+___LNFPPNAB_02514	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME096460_117___15527___16948___+___ADMJHJAO_03288	473	S1_27	454	5.3e-153	503.0	2	453	4	456	99.3	1	high	3.1.6.12 3.1.6.- 	
GUT_GENOME080798_82___44303___45757___-___HAGIENJO_01924	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_59(321.9);S1_46(322.0);S1_73(318.4);S1_52(319.6);S1_55(318.9);S1_54(318.2)
GUT_GENOME090241_173___2631___4145___-___BJLFBJEB_01798	504	S1_11	498	2.4e-185	609.9	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME091102_4___42779___44128___-___GEHODAGD_00645	449	S1_8	443	2.7e-118	388.2	4	425	8	412	95.0	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME082304_40___25116___26627___-___HJIBOKND_01945	503	S1_55	499	3.5e-245	806.9	2	499	2	500	99.6	1	high		
GUT_GENOME082873_174___57348___58805___-___INFABIKJ_05579	485	S1_52	473	1.5e-211	696.2	4	473	1	483	99.2	1	high		
GUT_GENOME096460_66___47759___49123___+___ADMJHJAO_02247	454	S1_30	463	6.2e-169	555.4	4	461	2	451	98.7	1	high		
GUT_GENOME093573_21___5279___6742___-___GEGFECFM_01597	487	S1_15	471	4.5e-171	562.6	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME029446_50___18659___20173___+___OCLNPGGP_02992	504	S1_11	498	9.4e-187	614.5	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME096207_2___998922___1000403___-___FPAHEDEG_04517	493	S1_64	483	1e-219	723.4	1	483	3	487	99.8	1	high		
GUT_GENOME080798_2___17578___19059___-___HAGIENJO_00030	493	S1_108	495	3.5e-224	738.0	2	490	4	486	98.6	1	high		
GUT_GENOME004912_221___3759___5228___-___PBCFILAN_05726	489	S1_61	451	4.8e-208	684.2	1	450	2	455	99.6	1	high		
GUT_GENOME070852_140___3336___4802___-___GEACAIOJ_01233	488	S1_46	459	4.1e-202	664.6	2	458	6	471	99.3	1	high		
GUT_GENOME091102_52___19467___20831___-___GEHODAGD_03375	454	S1_30	463	6.2e-172	565.3	4	461	2	451	98.7	1	high		
GUT_GENOME090241_353___22390___23895___+___BJLFBJEB_03812	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME070852_179___1982___3463___-___GEACAIOJ_01572	493	S1_108	495	3.5e-224	738.0	2	490	4	486	98.6	1	high		
GUT_GENOME000264_16___81272___82747___-___EJGDIAPN_04104	491	S1_64	483	1.9e-220	725.9	1	483	3	487	99.8	1	high		
GUT_GENOME091102_9___45554___47029___+___GEHODAGD_01126	491	S1_64	483	3.2e-220	725.1	1	483	3	487	99.8	1	high		
GUT_GENOME029446_100___18793___20157___+___OCLNPGGP_04392	454	S1_14	426	5.2e-163	535.4	2	420	6	415	98.1	1	high		
GUT_GENOME070852_597___868___2313___-___GEACAIOJ_05011	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME070852_97___24___1052___+___GEACAIOJ_00917	342	S1_11	498	3.2e-119	391.8	146	489	1	336	68.9	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME029446_10___51808___53172___+___OCLNPGGP_01017	454	S1_30	463	1.5e-169	557.5	4	461	2	451	98.7	1	high		
GUT_GENOME084445_450___55688___57250___-___KKOGDCMD_03316	520	S1_46	459	1.1e-91	300.5	2	450	3	504	97.6	1	high		
GUT_GENOME000264_4___337951___339408___-___EJGDIAPN_01621	485	S1_52	473	1.5e-211	696.2	4	473	1	483	99.2	1	high		
GUT_GENOME023674_25___66678___68141___+___KNNAIKAL_02601	487	S1_15	471	4.5e-171	562.6	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME082873_98___28232___29728___+___INFABIKJ_02689	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME080798_177___10677___12095___-___HAGIENJO_03810	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME091102_16___56899___58320___+___GEHODAGD_01633	473	S1_46	459	1.4e-95	313.4	2	447	3	467	96.9	1	high		
GUT_GENOME096207_4___669699___671048___-___FPAHEDEG_06285	449	S1_8	443	7.2e-122	400.0	2	430	2	417	96.6	1	high	3.10.1.1 3.1.6.- 	
GUT_GENOME023674_17___54756___56210___-___KNNAIKAL_02040	484	S1_73	463	8.8e-98	320.8	2	455	2	474	97.8	1	several good hits		 good hit with these HMMs: S1_73(320.8);S1_52(320.5);S1_59(319.7);S1_46(319.8);S1_55(317.0);S1_54(315.3)
GUT_GENOME082304_23___14476___16011___-___HJIBOKND_01104	511	S1_51	487	1.7e-149	491.7	2	486	2	510	99.4	1	high		
GUT_GENOME093573_24___4886___6364___+___GEGFECFM_01751	492	S1_46	459	4.1e-91	298.6	2	444	4	439	96.3	1	low		
GUT_GENOME000264_2___30013___31479___+___EJGDIAPN_00655	488	S1_52	473	7e-224	736.8	2	472	2	485	99.4	1	high		
GUT_GENOME090241_439___6337___7641___+___BJLFBJEB_04681	434	S1_108	495	7.3e-193	634.7	59	490	1	427	87.1	1	high		
GUT_GENOME084445_190___1___744___+___KKOGDCMD_01390	247	S1_73	463	1.5e-57	188.1	255	455	37	237	43.2	1	probable fragment		
GUT_GENOME096460_72___29088___29447___-___ADMJHJAO_02400	119	S1_16	444	4e-39	127.2	326	436	4	113	24.8	1	probable fragment		
GUT_GENOME096460_55___9309___10772___+___ADMJHJAO_01963	487	S1_55	499	9.9e-166	544.9	4	498	2	484	99.0	1	high		
GUT_GENOME082873_166___7867___9342___-___INFABIKJ_05239	491	S1_43	470	1.7e-225	742.0	2	470	3	468	99.6	1	high		
GUT_GENOME025112_28___43071___44492___-___LNFPPNAB_02649	473	S1_99	469	1.7e-257	847.5	5	469	2	465	98.9	1	high		
GUT_GENOME004912_89___15529___17331___-___PBCFILAN_03783	600	S1_64	483	1.3e-223	736.2	1	483	3	495	99.8	1	high		
GUT_GENOME096207_4___77507___79309___-___FPAHEDEG_05780	600	S1_64	483	1.3e-223	736.2	1	483	3	495	99.8	1	high		
GUT_GENOME090241_439___4679___6136___+___BJLFBJEB_04680	485	S1_52	473	1.5e-211	696.2	4	473	1	483	99.2	1	high		
GUT_GENOME093573_60___15419___16783___-___GEGFECFM_03283	454	S1_30	463	6.2e-170	558.7	4	461	2	451	98.7	1	high		
GUT_GENOME091102_122___5203___6666___-___GEHODAGD_05116	487	S1_15	471	4.5e-171	562.6	2	468	2	465	98.9	1	high	3.1.6.4 	
GUT_GENOME082873_5___12712___14166___+___INFABIKJ_00041	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_59(321.9);S1_46(322.0);S1_73(318.4);S1_52(319.6);S1_55(318.9);S1_54(318.2)
GUT_GENOME029446_19___31456___32931___+___OCLNPGGP_01616	491	S1_43	470	2.1e-225	741.6	2	470	3	468	99.6	1	high		
GUT_GENOME100553_22___19946___21460___+___GOHFGBAI_02009	504	S1_11	498	2.4e-185	609.9	7	489	2	498	96.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME060853_3___30229___31791___+___JEGJLKHA_00323	520	S1_15	471	1.4e-202	666.4	2	465	35	517	98.3	1	high	3.1.6.4 	
GUT_GENOME029446_64___9533___11038___-___OCLNPGGP_03438	501	S1_64	483	3.5e-189	622.8	1	483	3	491	99.8	1	high		
GUT_GENOME100553_103___12052___13521___+___GOHFGBAI_05009	489	S1_61	451	4.7e-207	680.9	1	450	2	455	99.6	1	high		
GUT_GENOME025112_44___45015___46511___-___LNFPPNAB_03663	498	S1_64	483	3.6e-194	639.2	1	483	3	486	99.8	1	high		
GUT_GENOME000264_13___199006___200460___-___EJGDIAPN_03674	484	S1_46	459	3.4e-98	322.0	2	452	2	471	98.0	1	several good hits		 good hit with these HMMs: S1_59(321.9);S1_46(322.0);S1_73(318.4);S1_52(319.6);S1_55(318.9);S1_54(318.2)
GUT_GENOME100553_2___22190___23608___+___GOHFGBAI_00269	472	S1_16	444	2.2e-177	582.8	2	435	2	465	97.5	1	high		
GUT_GENOME080798_239___17794___19239___-___HAGIENJO_05034	481	S1_46	459	7.3e-195	640.6	2	457	3	462	99.1	1	high		
GUT_GENOME063111_5___114293___115798___+___MLIDNPGI_00638	501	S1_64	483	5.1e-189	622.2	1	482	3	490	99.6	1	high		
GUT_GENOME023674_5___89754___91298___+___KNNAIKAL_00919	514	S1_108	495	1.5e-122	402.8	3	490	21	501	98.4	1	high		
GUT_GENOME004912_51___22516___23898___+___PBCFILAN_02695	460	S1_17	425	2e-129	424.8	2	410	6	453	96.0	1	high	3.1.6.- 	
