protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GUT_GENOME002882.faa|OALMGJLK_00483	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME106990.faa|LKBJOKJK_01645	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME281127.faa|HDJCHFBC_01225	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME238652.faa|LEPGJKAB_01100	519	S1_20	444	2.7e-126	414.7	3	428	26	512	95.7	1	high		
GUT_GENOME218696.faa|NHAGJDJP_00960	585	S1_11	498	6.2e-177	582.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME279346.faa|IOKMLEKC_00063	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME164131.faa|GHEPHDMH_00559	1414	S1_20	444	7.5e-128	419.8	2	436	503	1014	97.7	1	high		
GUT_GENOME224243.faa|KAFIPNAD_02125	1414	S1_20	444	2.1e-128	421.7	2	436	503	1014	97.7	1	high		
GUT_GENOME182942.faa|CPIEBKMC_00461	552	S1_11	498	1.3e-194	640.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME273078.faa|BNFHDNKD_02180	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME217481.faa|CCANEHMM_01092	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME230538.faa|GMNHGJCE_00730	519	S1_20	444	2.9e-125	411.3	3	428	26	512	95.7	1	high		
GUT_GENOME260853.faa|IKEKDHGI_00523	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME085794.faa|NMDHGMDJ_02152	1473	S1_20	444	7.4e-129	423.1	2	436	562	1073	97.7	1	high		
GUT_GENOME258945.faa|FOHCDBNE_00363	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME230538.faa|GMNHGJCE_02223	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME104157.faa|BLNHLLKH_01496	526	S1_15	471	1.9e-184	606.7	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME279346.faa|IOKMLEKC_01323	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME002882.faa|OALMGJLK_00334	141	S1_20	444	4.1e-32	104.3	285	429	3	135	32.4	1	probable fragment		
GUT_GENOME253684.faa|MDAFMJHG_02089	585	S1_11	498	6.2e-177	582.2	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME128755.faa|HDOKFKAO_01252	523	S1_4	536	3.5e-147	484.0	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME133357.faa|BOFHGJAD_02210	562	S1_16	444	3.8e-156	512.8	2	433	35	542	97.1	1	high		
GUT_GENOME003953.faa|LBKMNOIF_02286	1414	S1_20	444	1e-128	422.7	2	436	503	1014	97.7	1	high		
GUT_GENOME092915.faa|AGMFLMNB_01622	573	S1_16	444	2.3e-156	513.5	2	433	46	553	97.1	1	high		
GUT_GENOME273247.faa|MKHLHNEA_00751	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME261354.faa|MNGKDDCB_00249	523	S1_4	536	6.5e-146	479.8	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME210632.faa|BFOLBKID_00909	554	S1_16	444	1.1e-151	498.2	2	433	27	533	97.1	1	high		
GUT_GENOME218696.faa|NHAGJDJP_02135	526	S1_15	471	3.7e-184	605.7	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME258945.faa|FOHCDBNE_01644	1414	S1_20	444	9.9e-129	422.7	2	436	503	1014	97.7	1	high		
GUT_GENOME253684.faa|MDAFMJHG_00912	554	S1_16	444	2.2e-152	500.4	2	433	27	533	97.1	1	high		
GUT_GENOME253684.faa|MDAFMJHG_00226	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME273078.faa|BNFHDNKD_00774	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME139599.faa|EILHAPEM_01471	523	S1_4	536	2.5e-145	477.9	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME259335.faa|JIKEIINB_01170	581	S1_11	498	1.7e-176	580.7	6	483	28	559	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME106990.faa|LKBJOKJK_01895	465	S1_19	430	1.2e-151	498.0	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME104157.faa|BLNHLLKH_02292	1414	S1_20	444	1.1e-127	419.2	2	436	503	1014	97.7	1	high		
GUT_GENOME266648.faa|MBLLBCNE_01976	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME139599.faa|EILHAPEM_01466	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME242083.faa|HJBPLOEH_00043	535	S1_4	536	5.3e-147	483.4	2	508	26	523	94.4	1	high	3.1.6.1 	
GUT_GENOME255768.faa|AIBCMJDB_01635	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME182942.faa|CPIEBKMC_01678	216	S1_20	444	1.1e-60	198.5	235	436	1	205	45.3	1	probable fragment		
GUT_GENOME044384.faa|GBDGKCGM_00160	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME265600.faa|LCKAFMKK_00831	526	S1_15	471	4.6e-184	605.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME273247.faa|MKHLHNEA_00235	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME164131.faa|GHEPHDMH_00238	519	S1_20	444	1.3e-124	409.2	3	428	26	512	95.7	1	high		
GUT_GENOME085794.faa|NMDHGMDJ_02248	562	S1_16	444	3.4e-156	513.0	2	433	35	542	97.1	1	high		
GUT_GENOME131327.faa|DDMHHACP_00023	523	S1_4	536	4.4e-146	480.4	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME106453.faa|LNIDCBHM_02084	585	S1_11	498	1.8e-176	580.6	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME105409.faa|BIPPCPIG_01024	719	S1_20	444	1.9e-131	431.7	2	431	35	541	96.6	1	high		
GUT_GENOME258945.faa|FOHCDBNE_01441	562	S1_16	444	7.3e-157	515.2	2	433	35	542	97.1	1	high		
GUT_GENOME279346.faa|IOKMLEKC_00175	719	S1_20	444	2.1e-131	431.5	2	431	35	541	96.6	1	high		
GUT_GENOME106990.faa|LKBJOKJK_01575	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME255768.faa|AIBCMJDB_02240	562	S1_16	444	1e-156	514.7	2	433	35	542	97.1	1	high		
GUT_GENOME161266.faa|DDBLOCLM_01236	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME086530.faa|DPFJJPCF_01914	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME038088.faa|NBIAGOBD_02117	552	S1_11	498	1.9e-195	643.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME175440.faa|LHGNBIBK_00619	561	S1_16	444	2.9e-152	500.0	2	433	34	540	97.1	1	high		
GUT_GENOME128755.faa|HDOKFKAO_01136	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME086530.faa|DPFJJPCF_01260	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME156599.faa|HAKEHGPD_00231	497	S1_20	444	3.5e-155	509.9	2	435	24	488	97.5	1	high		
GUT_GENOME238652.faa|LEPGJKAB_01105	523	S1_4	536	6.5e-147	483.1	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME247481.faa|MONJFGFO_01480	526	S1_15	471	2.4e-184	606.4	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME156599.faa|HAKEHGPD_01578	465	S1_19	430	4.6e-152	499.3	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME225332.faa|NAFIBCMC_00164	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME063485.faa|IFAHCEJC_01537	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME255768.faa|AIBCMJDB_00908	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME156599.faa|HAKEHGPD_00189	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME161266.faa|DDBLOCLM_01226	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME139599.faa|EILHAPEM_00287	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME230538.faa|GMNHGJCE_01534	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME265600.faa|LCKAFMKK_01072	458	S1_16	444	1.4e-119	392.3	60	433	1	437	84.0	1	high		
GUT_GENOME114677.faa|IKGKJEHL_01733	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME157481.faa|PPOMAIBF_00697	519	S1_20	444	2e-125	411.8	3	428	26	512	95.7	1	high		
GUT_GENOME164131.faa|GHEPHDMH_00493	561	S1_16	444	1.2e-152	501.3	2	433	34	540	97.1	1	high		
GUT_GENOME106453.faa|LNIDCBHM_00638	350	S1_20	444	7e-95	311.2	3	272	26	338	60.6	1	high		
GUT_GENOME002882.faa|OALMGJLK_00133	719	S1_20	444	2.9e-127	417.9	2	431	35	541	96.6	1	high		
GUT_GENOME063485.faa|IFAHCEJC_02245	519	S1_20	444	1.1e-125	412.7	3	428	26	512	95.7	1	high		
GUT_GENOME155462.faa|LNIPPHIK_01789	552	S1_11	498	3.1e-195	642.5	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME114677.faa|IKGKJEHL_01814	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME131327.faa|DDMHHACP_00096	500	S1_20	444	1.1e-154	508.2	2	436	24	489	97.7	1	high		
GUT_GENOME243875.faa|JGILPMII_01163	554	S1_16	444	6.6e-153	502.2	2	433	27	533	97.1	1	high		
GUT_GENOME238652.faa|LEPGJKAB_01466	526	S1_15	471	2e-184	606.6	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME156599.faa|HAKEHGPD_01495	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME225332.faa|NAFIBCMC_01664	561	S1_16	444	1e-152	501.6	2	433	34	540	97.1	1	high		
GUT_GENOME106990.faa|LKBJOKJK_00109	561	S1_16	444	5e-153	502.6	2	433	34	540	97.1	1	high		
GUT_GENOME260853.faa|IKEKDHGI_00367	561	S1_16	444	6.7e-153	502.1	2	433	34	540	97.1	1	high		
GUT_GENOME253684.faa|MDAFMJHG_01326	526	S1_15	471	2.5e-184	606.3	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME261354.faa|MNGKDDCB_00303	526	S1_15	471	4.6e-183	602.1	5	467	31	514	98.1	1	high	3.1.6.4 	
GUT_GENOME210632.faa|BFOLBKID_02138	654	S1_20	444	1.2e-65	214.8	227	436	20	254	47.1	1	probable fragment		
GUT_GENOME063485.faa|IFAHCEJC_02074	562	S1_16	444	6.7e-156	512.0	2	433	35	542	97.1	1	high		
GUT_GENOME212734.faa|DAPHOKIH_01630	585	S1_11	498	5.3e-177	582.4	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME273247.faa|MKHLHNEA_00309	523	S1_4	536	7.4e-147	482.9	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME279346.faa|IOKMLEKC_01243	1414	S1_20	444	8.8e-129	422.9	2	436	503	1014	97.7	1	high		
GUT_GENOME086530.faa|DPFJJPCF_02086	561	S1_16	444	2.3e-152	500.4	2	433	34	540	97.1	1	high		
GUT_GENOME224243.faa|KAFIPNAD_00523	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME255768.faa|AIBCMJDB_00790	535	S1_4	536	5.3e-147	483.4	2	508	26	523	94.4	1	high	3.1.6.1 	
GUT_GENOME157481.faa|PPOMAIBF_01317	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME156599.faa|HAKEHGPD_00307	523	S1_4	536	1.9e-147	484.8	2	506	26	521	94.0	1	high	3.1.6.1 	
GUT_GENOME164131.faa|GHEPHDMH_01872	546	S3	508	2.6e-73	240.2	68	375	37	345	60.4	1	probable fragment		
GUT_GENOME273078.faa|BNFHDNKD_02038	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME253684.faa|MDAFMJHG_00409	573	S1_16	444	1.7e-156	514.0	2	433	46	553	97.1	1	high		
GUT_GENOME131327.faa|DDMHHACP_00028	519	S1_20	444	9.2e-126	412.9	3	428	26	512	95.7	1	high		
GUT_GENOME242083.faa|HJBPLOEH_01687	465	S1_19	430	1.2e-151	497.9	3	426	28	452	98.4	1	high	3.1.6.- 	
GUT_GENOME003953.faa|LBKMNOIF_01228	552	S1_11	498	1.9e-195	643.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME114677.faa|IKGKJEHL_00486	719	S1_20	444	3.4e-131	430.9	2	431	35	541	96.6	1	high		
GUT_GENOME155462.faa|LNIPPHIK_02036	465	S1_19	430	1.1e-151	498.1	2	426	27	452	98.6	1	high	3.1.6.- 	
GUT_GENOME265600.faa|LCKAFMKK_00416	484	S1_11	498	8e-180	591.7	46	484	1	468	88.0	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME273247.faa|MKHLHNEA_02293	585	S1_11	498	3.3e-176	579.8	6	483	32	563	95.8	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME247481.faa|MONJFGFO_01221	562	S1_16	444	3.8e-156	512.8	2	433	35	542	97.1	1	high		
GUT_GENOME279346.faa|IOKMLEKC_00133	500	S1_20	444	5.4e-155	509.3	2	436	24	489	97.7	1	high		
GUT_GENOME044384.faa|GBDGKCGM_00585	552	S1_11	498	8e-195	641.2	5	484	27	536	96.2	1	high	3.1.6.11 3.1.6.14 	
GUT_GENOME258945.faa|FOHCDBNE_00511	561	S1_16	444	4.1e-152	499.5	2	433	34	540	97.1	1	high		
GUT_GENOME155462.faa|LNIPPHIK_00721	561	S1_16	444	1.8e-152	500.7	2	433	34	540	97.1	1	high		
GUT_GENOME210632.faa|BFOLBKID_00434	519	S1_20	444	5.8e-126	413.6	3	428	26	512	95.7	1	high		
GUT_GENOME260853.faa|IKEKDHGI_00563	719	S1_20	444	2.7e-131	431.2	2	431	35	541	96.6	1	high		
GUT_GENOME243875.faa|JGILPMII_01424	719	S1_20	444	2.1e-131	431.5	2	431	35	541	96.6	1	high		
GUT_GENOME092915.faa|AGMFLMNB_01488	526	S1_15	471	2.9e-184	606.1	5	467	31	514	98.1	1	high	3.1.6.4 	
