Run,Assay Type,BioProject,BioSample,Center Name,Collection_Date,Consent,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,Bytes
ERR2017421,WGS,PRJEB21528,SAMEA104142364,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077003,SAMEA104142364,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001463-90,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142364,N021,Illumina,ERP023788,N021,"sra,fastq","s3,ena","s3.us-east-1,ena",155,3321189783,2963628302
ERR2017422,WGS,PRJEB21528,SAMEA104142363,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077004,SAMEA104142363,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001464-93,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142363,N022,Illumina,ERP023788,N022,"sra,fastq","s3,ena","ena,s3.us-east-1",176,3525241998,2717491112
ERR2017423,WGS,PRJEB21528,SAMEA104142362,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077005,SAMEA104142362,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001465-94,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142362,N024,Illumina,ERP023788,N024,"sra,fastq","s3,ena","s3.us-east-1,ena",157,3671247326,3231613876
ERR2017424,WGS,PRJEB21528,SAMEA104142361,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077006,SAMEA104142361,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001466-95,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142361,N025,Illumina,ERP023788,N025,"fastq,sra","s3,ena","s3.us-east-1,ena",157,3556380237,3126364604
ERR2017425,WGS,PRJEB21528,SAMEA104142360,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077007,SAMEA104142360,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001467-102,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142360,N026,Illumina,ERP023788,N026,fastq,ena,ena,,,
ERR2017426,WGS,PRJEB21528,SAMEA104142359,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077008,SAMEA104142359,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001468-108,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142359,N027,Illumina,ERP023788,N027,"fastq,sra","s3,ena","ena,s3.us-east-1",157,2722848394,2393972360
ERR2017427,WGS,PRJEB21528,SAMEA104142358,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077009,SAMEA104142358,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001469-109,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142358,N028,Illumina,ERP023788,N028,"fastq,sra","ena,s3","ena,s3.us-east-1",157,3283795123,2882388191
ERR2017428,WGS,PRJEB21528,SAMEA104142357,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077010,SAMEA104142357,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:11Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001470-111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142357,N029,Illumina,ERP023788,N029,"fastq,sra","ena,s3","ena,s3.us-east-1",157,3509351524,3116189008
ERR2017429,WGS,PRJEB21528,SAMEA104142356,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077011,SAMEA104142356,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001471-113,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142356,N031,Illumina,ERP023788,N031,"sra,fastq","ena,s3","s3.us-east-1,ena",157,3275699109,2898148288
ERR2017430,WGS,PRJEB21528,SAMEA104142355,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077012,SAMEA104142355,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001472-123,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142355,N032,Illumina,ERP023788,N032,"fastq,sra","ena,s3","ena,s3.us-east-1",177,4309044981,3286253908
ERR2017431,WGS,PRJEB21528,SAMEA104142354,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077013,SAMEA104142354,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001473-129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142354,N033,Illumina,ERP023788,N033,"sra,fastq","ena,s3","s3.us-east-1,ena",157,2601936105,2288215425
ERR2017432,WGS,PRJEB21528,SAMEA104142353,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077014,SAMEA104142353,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001474-133,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142353,N034,Illumina,ERP023788,N034,"fastq,sra","s3,ena","ena,s3.us-east-1",157,3380757185,2971647382
ERR2017433,WGS,PRJEB21528,SAMEA104142352,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077015,SAMEA104142352,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001475-136,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142352,N035,Illumina,ERP023788,N035,"sra,fastq","s3,ena","s3.us-east-1,ena",157,2169011824,1901798209
ERR2017434,WGS,PRJEB21528,SAMEA104142351,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077016,SAMEA104142351,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001477-142,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142351,N037,Illumina,ERP023788,N037,"sra,fastq","s3,ena","s3.us-east-1,ena",156,3384476913,2983385121
ERR2017435,WGS,PRJEB21528,SAMEA104142350,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077017,SAMEA104142350,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001478-158,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142350,N038,Illumina,ERP023788,N038,"sra,fastq","s3,ena","ena,s3.us-east-1",156,3385541622,3005369647
ERR2017436,WGS,PRJEB21528,SAMEA104142349,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077018,SAMEA104142349,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001479-166,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142349,N039,Illumina,ERP023788,N039,"fastq,sra","ena,s3","s3.us-east-1,ena",157,2672158272,2351762405
ERR2017437,WGS,PRJEB21528,SAMEA104142348,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077019,SAMEA104142348,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001480-169,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142348,N040,Illumina,ERP023788,N040,"fastq,sra","s3,ena","s3.us-east-1,ena",156,3368265220,2977160673
ERR2017438,WGS,PRJEB21528,SAMEA104142347,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077020,SAMEA104142347,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001482-14,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142347,N042,Illumina,ERP023788,N042,"fastq,sra","s3,ena","s3.us-east-1,ena",177,3834368945,2897438236
ERR2017439,WGS,PRJEB21528,SAMEA104142346,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077021,SAMEA104142346,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001483-15,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142346,N043,Illumina,ERP023788,N043,"fastq,sra","s3,ena","ena,s3.us-east-1",177,3951218847,3021919136
ERR2017440,WGS,PRJEB21528,SAMEA104142345,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077022,SAMEA104142345,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001484-16,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142345,N044,Illumina,ERP023788,N044,"sra,fastq","s3,ena","s3.us-east-1,ena",177,1543495525,1103198499
ERR2017441,WGS,PRJEB21528,SAMEA104142344,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077023,SAMEA104142344,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001486-18,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142344,N046,Illumina,ERP023788,N046,"sra,fastq","s3,ena","ena,s3.us-east-1",177,6395049566,4825016509
ERR2017442,WGS,PRJEB21528,SAMEA104142343,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077024,SAMEA104142343,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001487-19,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142343,N047,Illumina,ERP023788,N047,"sra,fastq","s3,ena","s3.us-east-1,ena",177,3977256124,3025225117
ERR2017443,WGS,PRJEB21528,SAMEA104142342,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077025,SAMEA104142342,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001489-21,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142342,N049,Illumina,ERP023788,N049,"sra,fastq","ena,s3","s3.us-east-1,ena",177,4740032976,3593280992
ERR2017444,WGS,PRJEB21528,SAMEA104142340,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077026,SAMEA104142340,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001812-136,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142340,N051,Illumina,ERP023788,N051,"fastq,sra","s3,ena","ena,s3.us-east-1",178,3575061726,2701625754
ERR2017445,WGS,PRJEB21528,SAMEA104142338,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077027,SAMEA104142338,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001814-158,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142338,N052,Illumina,ERP023788,N052,"sra,fastq","s3,ena","ena,s3.us-east-1",177,4629482521,3561282116
ERR2017446,WGS,PRJEB21528,SAMEA104142336,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077028,SAMEA104142336,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001817-166,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142336,N056,Illumina,ERP023788,N056,"sra,fastq","s3,ena","s3.us-east-1,ena",178,2890575763,2074007023
ERR2017447,WGS,PRJEB21528,SAMEA104142325,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077029,SAMEA104142325,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001835-169,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142325,N062,Illumina,ERP023788,N062,"sra,fastq","ena,s3","s3.us-east-1,ena",178,4076988246,3097668278
ERR2017448,WGS,PRJEB21528,SAMEA104142332,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077030,SAMEA104142332,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001825-13,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142332,N064,Illumina,ERP023788,N064,"fastq,sra","s3,ena","ena,s3.us-east-1",178,2971050399,2134406883
ERR2017449,WGS,PRJEB21528,SAMEA104142326,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077031,SAMEA104142326,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001834-142,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142326,N066,Illumina,ERP023788,N066,"sra,fastq","ena,s3","s3.us-east-1,ena",177,4232261360,3240429810
ERR2017450,WGS,PRJEB21528,SAMEA104142331,BEIJING GENOME INSTITUTE,2011,public,2017-12-14,2017-08-26,2018-11-16,2017-06-27,human gut,human-associated habitat,faeces,ERX2077032,SAMEA104142331,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI001827-22,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142331,N074,Illumina,ERP023788,N074,"sra,fastq","s3,ena","s3.us-east-1,ena",177,3665581729,2789177981
