cazy_family	phylum	meanCopyNumber	prevalence
CBM17	Firmicutes	1.6169978817327748e-5	1.6169978817327748e-5
CBM17	Candidatus Melainabacteria	0	0
CBM17	Chloroflexi	0	0
CBM17	Actinobacteria	0	0
CBM17	Spirochaetes	0	0
CBM17	Lentisphaerae	0	0
CBM17	Euryarchaeota	0	0
CBM17	Fusobacteria	0	0
CBM17	Synergistetes	0	0
CBM17	Tenericutes	0	0
CBM17	Fibrobacteres	0	0
CBM17	Elusimicrobia	0	0
CBM17	Verrucomicrobia	0	0
CBM17	Bacteroidetes	0	0
CBM17	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM17	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM17	Bacteria phylum incertae sedis	0	0
CBM17		0	0
CBM18	Proteobacteria	2.931978107896794e-4	2.9319781078967946e-4
CBM18	Firmicutes	4.850993645198326e-5	4.8509936451983245e-5
CBM18	Candidatus Melainabacteria	0	0
CBM18	Chloroflexi	0	0
CBM18	Actinobacteria	0	0
CBM18	Spirochaetes	0	0
CBM18	Lentisphaerae	0	0
CBM18	Euryarchaeota	0	0
CBM18	Fusobacteria	0	0
CBM18	Synergistetes	0	0
CBM18	Tenericutes	0	0
CBM18	Fibrobacteres	0	0
CBM18	Elusimicrobia	0	0
CBM18	Verrucomicrobia	0	0
CBM18	Bacteroidetes	0	0
CBM18	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM18	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM18	Bacteria phylum incertae sedis	0	0
CBM18		0	0
CBM2	Proteobacteria	5.863956215793588e-4	5.863956215793589e-4
CBM2	Firmicutes	0.19104829972672735	0.15649305499409796
CBM2	Candidatus Melainabacteria	0	0
CBM2	Chloroflexi	0.19131832797427653	0.18810289389067525
CBM2	Actinobacteria	0.016034985422740525	0.012208454810495626
CBM2	Spirochaetes	0	0
CBM2	Lentisphaerae	0	0
CBM2	Euryarchaeota	0	0
CBM2	Fusobacteria	0	0
CBM2	Synergistetes	0	0
CBM2	Tenericutes	0.00546448087431694	0.00546448087431694
CBM2	Fibrobacteres	0	0
CBM2	Elusimicrobia	0	0
CBM2	Verrucomicrobia	0	0
CBM2	Bacteroidetes	8.922596475574392e-4	8.476466651795672e-4
CBM2	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM2	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM2	Bacteria phylum incertae sedis	0.001142857142857143	0.001142857142857143
CBM2		0.12348596750369276	0.103397341211226
CBM20	Proteobacteria	0.005863956215793589	0.005863956215793589
CBM20	Firmicutes	0.002845916271849684	0.0027327264201283895
CBM20	Candidatus Melainabacteria	0	0
CBM20	Chloroflexi	0.5819935691318328	0.5819935691318328
CBM20	Actinobacteria	0.029701166180758017	0.02860787172011662
CBM20	Spirochaetes	0	0
CBM20	Lentisphaerae	0	0
CBM20	Euryarchaeota	0	0
CBM20	Fusobacteria	0	0
CBM20	Synergistetes	0	0
CBM20	Tenericutes	0	0
CBM20	Fibrobacteres	0	0
CBM20	Elusimicrobia	0.6842105263157895	0.6842105263157895
CBM20	Verrucomicrobia	0	0
CBM20	Bacteroidetes	0.7772473789872854	0.7190720499665403
CBM20	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM20	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM20	Bacteria phylum incertae sedis	0.011428571428571429	0.011428571428571429
CBM20		0.14771048744460857	0.134711964549483
CBM21	Proteobacteria	2.931978107896794e-4	2.9319781078967946e-4
CBM21	Firmicutes	0.002700386462493734	0.0025386866743204567
CBM21	Candidatus Melainabacteria	0	0
CBM21	Chloroflexi	0	0
CBM21	Actinobacteria	0	0
CBM21	Spirochaetes	0	0
CBM21	Lentisphaerae	0	0
CBM21	Euryarchaeota	0	0
CBM21	Fusobacteria	0	0
CBM21	Synergistetes	0	0
CBM21	Tenericutes	0	0
CBM21	Fibrobacteres	0	0
CBM21	Elusimicrobia	0	0
CBM21	Verrucomicrobia	0	0
CBM21	Bacteroidetes	0	0
CBM21	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM21	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM21	Bacteria phylum incertae sedis	0	0
CBM21		0.00029542097488921716	2.954209748892171e-4
CBM22	Proteobacteria	0.00517982799061767	0.004202501954652072
CBM22	Firmicutes	0.0979577316753715	0.05834128357291852
CBM22	Candidatus Melainabacteria	0	0
CBM22	Chloroflexi	0	0
CBM22	Actinobacteria	0.24088921282798834	0.1222667638483965
CBM22	Spirochaetes	0	0
CBM22	Lentisphaerae	0	0
CBM22	Euryarchaeota	0	0
CBM22	Fusobacteria	0	0
CBM22	Synergistetes	0	0
CBM22	Tenericutes	0	0
CBM22	Fibrobacteres	0	0
CBM22	Elusimicrobia	0	0
CBM22	Verrucomicrobia	0	0
CBM22	Bacteroidetes	9.81485612313183e-4	8.922596475574393e-4
CBM22	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM22	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM22	Bacteria phylum incertae sedis	0.001142857142857143	0.001142857142857143
CBM22		0.0688330871491876	0.0395864106351551
CBM23	Proteobacteria	5.863956215793589e-4	5.863956215793589e-4
CBM23	Firmicutes	0.0989441003832285	0.09706838284041848
CBM23	Candidatus Melainabacteria	0	0
CBM23	Chloroflexi	0	0
CBM23	Actinobacteria	0.043731778425655975	0.043731778425655975
CBM23	Spirochaetes	0	0
CBM23	Lentisphaerae	0	0
CBM23	Euryarchaeota	0	0
CBM23	Fusobacteria	0	0
CBM23	Synergistetes	0	0
CBM23	Tenericutes	0	0
CBM23	Fibrobacteres	0	0
CBM23	Elusimicrobia	0	0
CBM23	Verrucomicrobia	0	0
CBM23	Bacteroidetes	0	0
CBM23	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM23	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM23	Bacteria phylum incertae sedis	0	0
CBM23		0.05051698670605613	0.0499261447562777
CBM24	Proteobacteria	9.773260359655981e-5	9.773260359655981e-5
CBM24	Firmicutes	4.204194492505215e-4	4.204194492505215e-4
CBM24	Candidatus Melainabacteria	0	0
CBM24	Chloroflexi	0	0
CBM24	Actinobacteria	0	0
CBM24	Spirochaetes	0	0
CBM24	Lentisphaerae	0	0
CBM24	Euryarchaeota	0	0
CBM24	Fusobacteria	0	0
CBM24	Synergistetes	0	0
CBM24	Tenericutes	0	0
CBM24	Fibrobacteres	0	0
CBM24	Elusimicrobia	0	0
CBM24	Verrucomicrobia	0	0
CBM24	Bacteroidetes	2.6767789426723174e-4	2.676778942672318e-4
CBM24	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM24	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM24	Bacteria phylum incertae sedis	0.002285714285714286	0.002285714285714286
CBM24		0.00029542097488921716	2.954209748892171e-4
CBM25	Proteobacteria	2.931978107896794e-4	2.9319781078967946e-4
CBM25	Firmicutes	0.004268874407774526	0.0034927154245427937
CBM25	Candidatus Melainabacteria	0	0
CBM25	Chloroflexi	0	0
CBM25	Actinobacteria	0.04172740524781341	0.039540816326530615
CBM25	Spirochaetes	0	0
CBM25	Lentisphaerae	0	0
CBM25	Euryarchaeota	0.00202020202020202	0.00202020202020202
CBM25	Fusobacteria	0	0
CBM25	Synergistetes	0	0
CBM25	Tenericutes	0.01092896174863388	0.01092896174863388
CBM25	Fibrobacteres	0	0
CBM25	Elusimicrobia	0	0
CBM25	Verrucomicrobia	0	0
CBM25	Bacteroidetes	0	0
CBM25	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM25	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM25	Bacteria phylum incertae sedis	0.001142857142857143	0.001142857142857143
CBM25		8.862629246676514e-4	8.862629246676514e-4
CBM26	Proteobacteria	2.931978107896794e-4	2.9319781078967946e-4
CBM26	Firmicutes	0.17478130103649564	0.06922367931698009
CBM26	Candidatus Melainabacteria	0	0
CBM26	Chloroflexi	0	0
CBM26	Actinobacteria	0.06231778425655977	0.04318513119533528
CBM26	Spirochaetes	0.21428571428571427	0.13095238095238096
CBM26	Lentisphaerae	0	0
CBM26	Euryarchaeota	0	0
CBM26	Fusobacteria	0	0
CBM26	Synergistetes	0	0
CBM26	Tenericutes	0	0
CBM26	Fibrobacteres	0	0
CBM26	Elusimicrobia	0	0
CBM26	Verrucomicrobia	0	0
CBM26	Bacteroidetes	0.020789649788088334	0.018826678563461968
CBM26	Bacteria phylum [Firmicutes/Actinobacteria]	0.2222222222222222	0.2222222222222222
CBM26	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM26	Bacteria phylum incertae sedis	0	0
CBM26		0.09423929098966026	0.04283604135893648
CBM27	Proteobacteria	0.004984362783424551	0.00498436278342455
CBM27	Firmicutes	0.0547192083178371	0.054363468783855895
CBM27	Candidatus Melainabacteria	0	0
CBM27	Chloroflexi	0	0
CBM27	Actinobacteria	0	0
CBM27	Spirochaetes	0.23214285714285715	0.23214285714285715
CBM27	Lentisphaerae	0	0
CBM27	Euryarchaeota	0	0
CBM27	Fusobacteria	0	0
CBM27	Synergistetes	0	0
CBM27	Tenericutes	0	0
CBM27	Fibrobacteres	0	0
CBM27	Elusimicrobia	0	0
CBM27	Verrucomicrobia	0	0
CBM27	Bacteroidetes	0	0
CBM27	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM27	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM27	Bacteria phylum incertae sedis	0	0
CBM27		0.024519940915805023	0.024519940915805023
CBM3	Proteobacteria	0.029808444096950742	0.029026583268178266
CBM3	Firmicutes	0.03277654706272335	0.01846611580938829
CBM3	Candidatus Melainabacteria	0	0
CBM3	Chloroflexi	0	0
CBM3	Actinobacteria	9.110787172011661e-4	9.110787172011661e-4
CBM3	Spirochaetes	0.005952380952380952	0.005952380952380952
CBM3	Lentisphaerae	0	0
CBM3	Euryarchaeota	0	0
CBM3	Fusobacteria	0	0
CBM3	Synergistetes	0	0
CBM3	Tenericutes	0.00546448087431694	0.00546448087431694
CBM3	Fibrobacteres	2	1
CBM3	Elusimicrobia	0	0
CBM3	Verrucomicrobia	0	0
CBM3	Bacteroidetes	0.009234887352219496	0.009234887352219496
CBM3	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM3	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM3	Bacteria phylum incertae sedis	0	0
CBM3		0.027474150664697192	0.01654357459379616
CBM30	Proteobacteria	0	0
CBM30	Firmicutes	0.00244166680141649	0.0024254968225991625
CBM30	Candidatus Melainabacteria	0	0
CBM30	Chloroflexi	0	0
CBM30	Actinobacteria	0	0
CBM30	Spirochaetes	0	0
CBM30	Lentisphaerae	0	0
CBM30	Euryarchaeota	0	0
CBM30	Fusobacteria	0.2863636363636364	0.2863636363636364
CBM30	Synergistetes	0	0
CBM30	Tenericutes	0	0
CBM30	Fibrobacteres	0	0
CBM30	Elusimicrobia	0	0
CBM30	Verrucomicrobia	0	0
CBM30	Bacteroidetes	0	0
CBM30	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM30	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM30	Bacteria phylum incertae sedis	0	0
CBM30		0.0011816838995568684	8.862629246676514e-4
CBM32	Proteobacteria	0.04016810007818608	0.020426114151681
CBM32	Firmicutes	0.34791326423362384	0.14897401484404055
CBM32	Candidatus Melainabacteria	0	0
CBM32	Chloroflexi	1.0562700964630225	0.635048231511254
CBM32	Actinobacteria	0.4905247813411079	0.13830174927113703
CBM32	Spirochaetes	0	0
CBM32	Lentisphaerae	1.1794871794871795	0.6666666666666666
CBM32	Euryarchaeota	0.00202020202020202	0.00202020202020202
CBM32	Fusobacteria	0	0
CBM32	Synergistetes	0	0
CBM32	Tenericutes	0.01639344262295082	0.01639344262295082
CBM32	Fibrobacteres	0	0
CBM32	Elusimicrobia	0	0
CBM32	Verrucomicrobia	5.146648044692737	0.9238826815642458
CBM32	Bacteroidetes	1.817711354004015	0.7310283292438099
CBM32	Bacteria phylum [Firmicutes/Actinobacteria]	0	0
CBM32	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM32	Bacteria phylum incertae sedis	1.1005714285714285	0.768
CBM32		0.6771048744460857	0.2537666174298375
CBM34	Proteobacteria	0.5132916340891321	0.4778146989835809
CBM34	Firmicutes	0.7416522484355546	0.4815581391588377
CBM34	Candidatus Melainabacteria	0	0
CBM34	Chloroflexi	0	0
CBM34	Actinobacteria	0.004008746355685131	0.004008746355685131
CBM34	Spirochaetes	0.25595238095238093	0.25595238095238093
CBM34	Lentisphaerae	0	0
CBM34	Euryarchaeota	0	0
CBM34	Fusobacteria	0.03636363636363636	0.03636363636363636
CBM34	Synergistetes	0	0
CBM34	Tenericutes	0	0
CBM34	Fibrobacteres	0	0
CBM34	Elusimicrobia	0	0
CBM34	Verrucomicrobia	6.983240223463687e-4	6.983240223463687e-4
CBM34	Bacteroidetes	0.0016506803479812626	0.0015168414008476466
CBM34	Bacteria phylum [Firmicutes/Actinobacteria]	1.2222222222222223	0.5555555555555556
CBM34	Bacteria phylum [Proteobacteria/Firmicutes]	0	0
CBM34	Bacteria phylum incertae sedis	0.004571428571428572	0.004571428571428572
