Run,Assay Type,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Submitter_Id,AvgSpotLen,Bases,instrument_model (run)
ERR1110303,WGS,PRJEB11532,SAMEA3646681,1037697519,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","s3,ena,gs","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189834,SAMEA3646681,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:12Z,public,NextSeq 500,FD1144,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646681,PNP_Validation_11,ERP012929,PNP_Validation_11,,,
ERR1110304,WGS,PRJEB11532,SAMEA3646683,2380734933,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","gs,s3,ena","ena,gs.US,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189835,SAMEA3646683,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:11Z,public,NextSeq 500,FD1147,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646683,PNP_Validation_13,ERP012929,PNP_Validation_13,158,5737618732,
ERR1110305,WGS,PRJEB11532,SAMEA3646684,1414215636,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3,gs","ena,s3.us-east-1,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189836,SAMEA3646684,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:13Z,public,NextSeq 500,FD1148,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646684,PNP_Validation_14,ERP012929,PNP_Validation_14,158,3320767760,
ERR1110306,WGS,PRJEB11532,SAMEA3646685,1854807811,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","gs,s3,ena","gs.US,ena,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189837,SAMEA3646685,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:12Z,public,NextSeq 500,FD1149,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646685,PNP_Validation_15,ERP012929,PNP_Validation_15,158,4487489444,
ERR1110307,WGS,PRJEB11532,SAMEA3646686,658287366,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,gs,ena","ena,s3.us-east-1,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189838,SAMEA3646686,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:13Z,public,NextSeq 500,FD1150,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646686,PNP_Validation_16,ERP012929,PNP_Validation_16,158,1538483230,
ERR1110308,WGS,PRJEB11532,SAMEA3646689,840154227,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3,gs","gs.US,ena,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189839,SAMEA3646689,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:16Z,public,NextSeq 500,FD1153,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646689,PNP_Validation_19,ERP012929,PNP_Validation_19,158,2001146403,
ERR1110309,WGS,PRJEB11532,SAMEA3646690,1386981606,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","gs,ena,s3","s3.us-east-1,ena,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189840,SAMEA3646690,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:09Z,public,NextSeq 500,FD1156,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646690,PNP_Validation_20,ERP012929,PNP_Validation_20,158,3220906735,
ERR1110310,WGS,PRJEB11532,SAMEA3646693,780723185,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","gs,ena,s3","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189841,SAMEA3646693,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:12Z,public,NextSeq 500,FD1159,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646693,PNP_Validation_23,ERP012929,PNP_Validation_23,158,1859527440,
ERR1110311,WGS,PRJEB11532,SAMEA3646694,851033442,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,gs,s3","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189842,SAMEA3646694,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:08Z,public,NextSeq 500,FD1160,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646694,PNP_Validation_24,ERP012929,PNP_Validation_24,158,2023903386,
ERR1110312,WGS,PRJEB11532,SAMEA3646695,872531453,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3,gs","ena,gs.US,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189843,SAMEA3646695,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1161,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646695,PNP_Validation_25,ERP012929,PNP_Validation_25,158,2093711145,
ERR1110313,WGS,PRJEB11532,SAMEA3646696,892521780,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,s3,gs","s3.us-east-1,ena,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189844,SAMEA3646696,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1162,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646696,PNP_Validation_26,ERP012929,PNP_Validation_26,158,2146682633,
ERR1110314,WGS,PRJEB11532,SAMEA3646698,843152983,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","gs,s3,ena","s3.us-east-1,ena,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189845,SAMEA3646698,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:08Z,public,NextSeq 500,FD1165,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646698,PNP_Validation_28,ERP012929,PNP_Validation_28,158,2037140948,
ERR1110315,WGS,PRJEB11532,SAMEA3646699,1960035234,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,ena,gs","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189846,SAMEA3646699,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:13Z,public,NextSeq 500,FD1166,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646699,PNP_Validation_29,ERP012929,PNP_Validation_29,158,4761122417,
ERR1110316,WGS,PRJEB11532,SAMEA3646700,867391246,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","s3,ena,gs","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189847,SAMEA3646700,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1176,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646700,PNP_Validation_30,ERP012929,PNP_Validation_30,158,2055821529,
ERR1110317,WGS,PRJEB11532,SAMEA3646701,735776816,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,gs,s3","s3.us-east-1,gs.US,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189848,SAMEA3646701,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:12Z,public,NextSeq 500,FD1177,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646701,PNP_Validation_31,ERP012929,PNP_Validation_31,158,1731103172,
ERR1110318,WGS,PRJEB11532,SAMEA3646702,1518183608,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,gs,ena","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189849,SAMEA3646702,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:08Z,public,NextSeq 500,FD1178,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646702,PNP_Validation_32,ERP012929,PNP_Validation_32,158,3677911247,
ERR1110319,WGS,PRJEB11532,SAMEA3646703,859421823,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,s3,gs","ena,gs.US,s3.us-east-1",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189850,SAMEA3646703,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1179,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646703,PNP_Validation_33,ERP012929,PNP_Validation_33,158,2069081689,
ERR1110320,WGS,PRJEB11532,SAMEA3646706,1097337567,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,gs,s3","s3.us-east-1,gs.US,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189851,SAMEA3646706,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:14Z,public,NextSeq 500,FD1182,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646706,PNP_Validation_36,ERP012929,PNP_Validation_36,158,2665819296,
ERR1110321,WGS,PRJEB11532,SAMEA3646707,681756362,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,gs,ena","s3.us-east-1,ena,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189852,SAMEA3646707,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:09Z,public,NextSeq 500,FD1183,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646707,PNP_Validation_37,ERP012929,PNP_Validation_37,158,1615432411,
ERR1110322,WGS,PRJEB11532,SAMEA3646708,828893835,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,gs,ena","ena,s3.us-east-1,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189853,SAMEA3646708,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:14Z,public,NextSeq 500,FD1184,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646708,PNP_Validation_38,ERP012929,PNP_Validation_38,158,1976334670,
ERR1110323,WGS,PRJEB11532,SAMEA3646709,875125081,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,gs,s3","s3.us-east-1,ena,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189854,SAMEA3646709,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:12Z,public,NextSeq 500,FD1185,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646709,PNP_Validation_39,ERP012929,PNP_Validation_39,158,2085615445,
ERR1110324,WGS,PRJEB11532,SAMEA3646710,2904752308,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,ena","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189855,SAMEA3646710,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:08Z,public,NextSeq 500,FD1188,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646710,PNP_Validation_40,ERP012929,PNP_Validation_40,298,6925584079,
ERR1110325,WGS,PRJEB11532,SAMEA3646711,2540283575,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189856,SAMEA3646711,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1189,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646711,PNP_Validation_41,ERP012929,PNP_Validation_41,297,6200194310,
ERR1110326,WGS,PRJEB11532,SAMEA3646712,2783541521,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,ena","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189857,SAMEA3646712,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:13Z,public,NextSeq 500,FD1190,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646712,PNP_Validation_42,ERP012929,PNP_Validation_42,298,6801217512,
ERR1110327,WGS,PRJEB11532,SAMEA3646713,3996796252,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189858,SAMEA3646713,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:11Z,public,NextSeq 500,FD1191,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646713,PNP_Validation_43,ERP012929,PNP_Validation_43,296,9707517358,
ERR1110328,WGS,PRJEB11532,SAMEA3646714,4481999692,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,ena","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189859,SAMEA3646714,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:09Z,public,NextSeq 500,FD1194,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646714,PNP_Validation_44,ERP012929,PNP_Validation_44,297,10939987575,
ERR1110329,WGS,PRJEB11532,SAMEA3646715,1146045291,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189860,SAMEA3646715,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:14Z,public,NextSeq 500,FD1195,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646715,PNP_Validation_45,ERP012929,PNP_Validation_45,297,2670082531,
ERR1110330,WGS,PRJEB11532,SAMEA3646716,3191377429,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189861,SAMEA3646716,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:14Z,public,NextSeq 500,FD1196,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646716,PNP_Validation_46,ERP012929,PNP_Validation_46,297,7725516722,
ERR1110331,WGS,PRJEB11532,SAMEA3646672,2685899839,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","ena,s3,gs","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189862,SAMEA3646672,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1133,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646672,PNP_Validation_2,ERP012929,PNP_Validation_2,158,6553867060,
ERR1110332,WGS,PRJEB11532,SAMEA3646673,2641010915,WEIZMANN INSTITUE OF SCIENCE,public,"sra,fastq","gs,s3,ena","gs.US,s3.us-east-1,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189863,SAMEA3646673,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:13Z,public,NextSeq 500,FD1134,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646673,PNP_Validation_3,ERP012929,PNP_Validation_3,158,6462457688,
ERR1110333,WGS,PRJEB11532,SAMEA3646677,2974202098,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","gs,s3,ena","s3.us-east-1,gs.US,ena",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189864,SAMEA3646677,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:10Z,public,NextSeq 500,FD1140,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646677,PNP_Validation_7,ERP012929,PNP_Validation_7,158,7228110786,
ERR1110334,WGS,PRJEB11532,SAMEA3646682,1127802935,WEIZMANN INSTITUE OF SCIENCE,public,"fastq,sra","s3,ena,gs","ena,s3.us-east-1,gs.US",2015-11-26,2015-11-26,2018-11-16,2019-11-20,ERX1189865,SAMEA3646682,WEIZMANN INSTITUE OF SCIENCE,WEIZMANN INSTITUE OF SCIENCE,2015-11-26T17:01:14Z,2019-11-20T10:54:14Z,public,NextSeq 500,FD1145,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2015-11-27T00:00:00Z,SAMEA3646682,PNP_Validation_12,ERP012929,PNP_Validation_12,158,2763495338,
