Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Environmental_package,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id
ERR911963,WGS,196,7457570338,PRJEB9576,SAMEA3449158,5745855757,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991093,SAMEA3449158,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030693-88,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449158,YSZC12003_35549,Illumina,ERP010700,YSZC12003_35549
ERR911964,WGS,195,8773412425,PRJEB9576,SAMEA3449159,6951323356,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991094,SAMEA3449159,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030698-95,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449159,YSZC12003_35550,Illumina,ERP010700,YSZC12003_35550
ERR911965,WGS,197,5756146648,PRJEB9576,SAMEA3449160,4414790218,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991095,SAMEA3449160,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030675-41,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449160,YSZC12003_35551,Illumina,ERP010700,YSZC12003_35551
ERR911966,WGS,195,8586172049,PRJEB9576,SAMEA3449161,6807935799,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991096,SAMEA3449161,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI000043-66,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449161,YSZC12003_35563,Illumina,ERP010700,YSZC12003_35563
ERR911967,WGS,196,6953793472,PRJEB9576,SAMEA3449162,5372483685,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991097,SAMEA3449162,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030668-40,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449162,YSZC12003_35577,Illumina,ERP010700,YSZC12003_35577
ERR911968,WGS,195,6923736093,PRJEB9576,SAMEA3449163,5484342405,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991098,SAMEA3449163,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030661-25,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449163,YSZC12003_35578,Illumina,ERP010700,YSZC12003_35578
ERR911969,WGS,195,6243785374,PRJEB9576,SAMEA3449164,4860383882,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991099,SAMEA3449164,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030708-107,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449164,YSZC12003_35583,Illumina,ERP010700,YSZC12003_35583
ERR911970,WGS,194,7176570046,PRJEB9576,SAMEA3449165,5774798406,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991100,SAMEA3449165,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030684-66,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449165,YSZC12003_35630,Illumina,ERP010700,YSZC12003_35630
ERR911971,WGS,196,6203258574,PRJEB9576,SAMEA3449166,4776832085,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991101,SAMEA3449166,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030674-40,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449166,YSZC12003_35635,Illumina,ERP010700,YSZC12003_35635
ERR911972,WGS,196,6313226903,PRJEB9576,SAMEA3449167,4960194096,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991102,SAMEA3449167,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030649-140,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449167,YSZC12003_35657,Illumina,ERP010700,YSZC12003_35657
ERR911973,WGS,196,6688566605,PRJEB9576,SAMEA3449168,5305511538,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991103,SAMEA3449168,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030647-129,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449168,YSZC12003_35658,Illumina,ERP010700,YSZC12003_35658
ERR911974,WGS,196,8162725229,PRJEB9576,SAMEA3449169,6260558638,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991104,SAMEA3449169,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030697-94,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449169,YSZC12003_35665,Illumina,ERP010700,YSZC12003_35665
ERR911975,WGS,195,6774773237,PRJEB9576,SAMEA3449170,5457629252,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991105,SAMEA3449170,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030691-86,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449170,YSZC12003_35666,Illumina,ERP010700,YSZC12003_35666
ERR911976,WGS,196,6368375646,PRJEB9576,SAMEA3449171,4831716457,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991106,SAMEA3449171,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030676-42,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449171,YSZC12003_35697,Illumina,ERP010700,YSZC12003_35697
ERR911977,WGS,195,6564082392,PRJEB9576,SAMEA3449172,5014971639,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991107,SAMEA3449172,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030660-24,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449172,YSZC12003_35705,Illumina,ERP010700,YSZC12003_35705
ERR911978,WGS,196,7078618518,PRJEB9576,SAMEA3449173,5415072189,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991108,SAMEA3449173,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030704-102,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449173,YSZC12003_35706,Illumina,ERP010700,YSZC12003_35706
ERR911979,WGS,197,7032141181,PRJEB9576,SAMEA3449174,5314143348,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991109,SAMEA3449174,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030666-35,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449174,YSZC12003_35712,Illumina,ERP010700,YSZC12003_35712
ERR911980,WGS,196,6901353420,PRJEB9576,SAMEA3449175,5245703676,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991110,SAMEA3449175,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030690-85,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449175,YSZC12003_35723,Illumina,ERP010700,YSZC12003_35723
ERR911981,WGS,196,7557130872,PRJEB9576,SAMEA3449176,5802363624,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991111,SAMEA3449176,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030723-85,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449176,YSZC12003_35733,Illumina,ERP010700,YSZC12003_35733
ERR911982,WGS,196,6988295972,PRJEB9576,SAMEA3449177,5287132150,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991112,SAMEA3449177,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030631-18,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449177,YSZC12003_35739,Illumina,ERP010700,YSZC12003_35739
ERR911983,WGS,196,7233975810,PRJEB9576,SAMEA3449178,5512470149,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991113,SAMEA3449178,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030696-93,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449178,YSZC12003_35740,Illumina,ERP010700,YSZC12003_35740
ERR911984,WGS,195,5978948845,PRJEB9576,SAMEA3449179,4649470156,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991114,SAMEA3449179,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030635-22,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449179,YSZC12003_35741,Illumina,ERP010700,YSZC12003_35741
ERR911985,WGS,195,7137756509,PRJEB9576,SAMEA3449180,5531430986,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991115,SAMEA3449180,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030692-87,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449180,YSZC12003_35742,Illumina,ERP010700,YSZC12003_35742
ERR911986,WGS,195,5597077037,PRJEB9576,SAMEA3449181,4378726740,BEIJING GENOME INSTITUTE,2010/2012,public,"sra,fastq","s3,ena","s3.us-east-1,ena",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991116,SAMEA3449181,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030640-27,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449181,YSZC12003_35979,Illumina,ERP010700,YSZC12003_35979
ERR911987,WGS,196,6452163760,PRJEB9576,SAMEA3449182,4955857055,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","ena,s3","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991117,SAMEA3449182,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:18Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030682-53,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449182,YSZC12003_35980,Illumina,ERP010700,YSZC12003_35980
ERR911988,WGS,195,6690168029,PRJEB9576,SAMEA3449183,5173596047,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991118,SAMEA3449183,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:17Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030685-74,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449183,YSZC12003_35991,Illumina,ERP010700,YSZC12003_35991
ERR911989,WGS,196,5974455721,PRJEB9576,SAMEA3449184,4621376621,BEIJING GENOME INSTITUTE,2010/2012,public,"fastq,sra","s3,ena","ena,s3.us-east-1",2016-10-27,2016-10-27,2018-11-16,2016-10-27,human gut,human-associated habitat,faeces,human-gut,ERX991119,SAMEA3449184,United Kingdom,Europe,United Kingdom,51.5,-0.12,human-gut,BGI,Beijing Genome Institute,2016-10-27T17:01:17Z,2016-10-27T10:19:18Z,public,Illumina HiSeq 2000,metagenome,SZAXPI030686-79,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,KCL_twins,2016-10-28T00:00:00Z,SAMEA3449184,YSZC12003_35992,Illumina,ERP010700,YSZC12003_35992
