genus	familyGroup	category	copy number
Bacteroides	GH	numberCAZyGenes	149.44204593556205
Bacteroides	GH	numberUniqueCAZyFamilies	58.53034428655353
Bacteroides	GT	numberCAZyGenes	50.03736628756766
Bacteroides	GT	numberUniqueCAZyFamilies	13.026286916972285
Bacteroides	PL	numberCAZyGenes	14.344006506896468
Bacteroides	PL	numberUniqueCAZyFamilies	9.546788538010048
Barnesiella	CBM	numberCAZyGenes	13.019417475728156
Barnesiella	CBM	numberUniqueCAZyFamilies	5.786407766990291
Barnesiella	CE	numberCAZyGenes	7.8794498381877025
Barnesiella	CE	numberUniqueCAZyFamilies	3.918284789644013
Barnesiella	GH	numberCAZyGenes	87.38592233009709
Barnesiella	GH	numberUniqueCAZyFamilies	42.79045307443366
Barnesiella	GT	numberCAZyGenes	45.583333333333336
Barnesiella	GT	numberUniqueCAZyFamilies	14.506472491909385
Barnesiella	PL	numberCAZyGenes	1.0833333333333333
Barnesiella	PL	numberUniqueCAZyFamilies	1.4166666666666667
Bifidobacterium	CBM	numberCAZyGenes	7.566834952552763
Bifidobacterium	CBM	numberUniqueCAZyFamilies	4.3363201970369545
Bifidobacterium	CE	numberCAZyGenes	3.1223394369234097
Bifidobacterium	CE	numberUniqueCAZyFamilies	2.56010642936631
Bifidobacterium	GH	numberCAZyGenes	47.54403499590158
Bifidobacterium	GH	numberUniqueCAZyFamilies	30.64763853796757
Bifidobacterium	GT	numberCAZyGenes	17.076574738819144
Bifidobacterium	GT	numberUniqueCAZyFamilies	6.466704283844131
Bifidobacterium	PL	numberCAZyGenes	1.0029411764705882
Bifidobacterium	PL	numberUniqueCAZyFamilies	1
Blautia	CBM	numberCAZyGenes	11.077401016716156
Blautia	CBM	numberUniqueCAZyFamilies	4.687655914284585
Blautia	CE	numberCAZyGenes	7.084352823426105
Blautia	CE	numberUniqueCAZyFamilies	3.018679102831314
Blautia	GH	numberCAZyGenes	63.955368960403135
Blautia	GH	numberUniqueCAZyFamilies	31.88026910930569
Blautia	GT	numberCAZyGenes	25.534669985518192
Blautia	GT	numberUniqueCAZyFamilies	6.711574240940563
Blautia	PL	numberCAZyGenes	1.688698164256477
Blautia	PL	numberUniqueCAZyFamilies	1.6125217765416278
Brachyspira	CBM	numberCAZyGenes	5.616541353383459
Brachyspira	CBM	numberUniqueCAZyFamilies	1.6403508771929824
Brachyspira	CE	numberCAZyGenes	3.281954887218045
Brachyspira	CE	numberUniqueCAZyFamilies	3.1416040100250626
Brachyspira	GH	numberCAZyGenes	22.843776106934
Brachyspira	GH	numberUniqueCAZyFamilies	10.276942355889725
Brachyspira	GT	numberCAZyGenes	36.49749373433584
Brachyspira	GT	numberUniqueCAZyFamilies	13.576858813700918
Brachyspira	PL	numberCAZyGenes	1
Brachyspira	PL	numberUniqueCAZyFamilies	2
Butyrivibrio	CBM	numberCAZyGenes	16.67686457935599
Butyrivibrio	CBM	numberUniqueCAZyFamilies	9.250612511136566
Butyrivibrio	CE	numberCAZyGenes	6.90689830724195
Butyrivibrio	CE	numberUniqueCAZyFamilies	2.669434898816342
Butyrivibrio	GH	numberCAZyGenes	45.41102679139621
Butyrivibrio	GH	numberUniqueCAZyFamilies	28.223097238131604
Butyrivibrio	GT	numberCAZyGenes	32.248003372788595
Butyrivibrio	GT	numberUniqueCAZyFamilies	7.9858963344788085
Butyrivibrio	PL	numberCAZyGenes	2.2083333333333335
Butyrivibrio	PL	numberUniqueCAZyFamilies	1.8333333333333335
Citrobacter	CBM	numberCAZyGenes	11.023636363636363
Citrobacter	CBM	numberUniqueCAZyFamilies	3.5795454545454546
Citrobacter	CE	numberCAZyGenes	7.837045454545454
Citrobacter	CE	numberUniqueCAZyFamilies	4.809318181818182
Citrobacter	GH	numberCAZyGenes	48.717045454545456
Citrobacter	GH	numberUniqueCAZyFamilies	31.043636363636363
Citrobacter	GT	numberCAZyGenes	37.31068181818182
Citrobacter	GT	numberUniqueCAZyFamilies	14.928181818181818
Citrobacter	PL	numberCAZyGenes	1.375
Citrobacter	PL	numberUniqueCAZyFamilies	1.875
Clostridium	CBM	numberCAZyGenes	9.444006430996254
Clostridium	CBM	numberUniqueCAZyFamilies	4.1956880430382775
Clostridium	CE	numberCAZyGenes	7.602760817241399
Clostridium	CE	numberUniqueCAZyFamilies	2.868760102978935
Clostridium	GH	numberCAZyGenes	34.029583820306236
Clostridium	GH	numberUniqueCAZyFamilies	18.76619038595054
Clostridium	GT	numberCAZyGenes	24.46231438115151
Clostridium	GT	numberUniqueCAZyFamilies	7.28075261019369
Clostridium	PL	numberCAZyGenes	3.000872209741504
Clostridium	PL	numberUniqueCAZyFamilies	2.3666560753312873
Coprobacillus	CBM	numberCAZyGenes	6.187414141414141
Coprobacillus	CBM	numberUniqueCAZyFamilies	3.175333333333333
Coprobacillus	CE	numberCAZyGenes	4.5999595959595965
Coprobacillus	CE	numberUniqueCAZyFamilies	2.1255555555555556
Coprobacillus	GH	numberCAZyGenes	35.447878787878786
Coprobacillus	GH	numberUniqueCAZyFamilies	17.656141414141416
Coprobacillus	GT	numberCAZyGenes	15.26539393939394
Coprobacillus	GT	numberUniqueCAZyFamilies	5.612181818181818
Coprobacillus	PL	numberCAZyGenes	1.0588235294117647
Coprobacillus	PL	numberUniqueCAZyFamilies	1.0588235294117647
Coprobacter	CBM	numberCAZyGenes	20.15126050420168
Coprobacter	CBM	numberUniqueCAZyFamilies	9.344537815126051
Coprobacter	CE	numberCAZyGenes	13.109243697478991
Coprobacter	CE	numberUniqueCAZyFamilies	6.176470588235294
Coprobacter	GH	numberCAZyGenes	107.94117647058823
Coprobacter	GH	numberUniqueCAZyFamilies	43.142857142857146
Coprobacter	GT	numberCAZyGenes	57.80672268907563
Coprobacter	GT	numberUniqueCAZyFamilies	14.478991596638656
Coprobacter	PL	numberCAZyGenes	13.64406779661017
Coprobacter	PL	numberUniqueCAZyFamilies	7.313559322033898
Coprococcus	CBM	numberCAZyGenes	11.803989124932398
Coprococcus	CBM	numberUniqueCAZyFamilies	6.147400358571524
Coprococcus	CE	numberCAZyGenes	5.5033140616195295
Coprococcus	CE	numberUniqueCAZyFamilies	3.243350693636312
Coprococcus	GH	numberCAZyGenes	40.28226350703579
Coprococcus	GH	numberUniqueCAZyFamilies	23.393670563334293
Coprococcus	GT	numberCAZyGenes	21.189432368525058
Coprococcus	GT	numberUniqueCAZyFamilies	6.645453246474715
Coprococcus	PL	numberCAZyGenes	2.026666666666667
Coprococcus	PL	numberUniqueCAZyFamilies	1.9466666666666668
Coraliomargarita	CBM	numberCAZyGenes	12.021367521367521
Coraliomargarita	CBM	numberUniqueCAZyFamilies	4.222222222222222
Coraliomargarita	CE	numberCAZyGenes	8.564102564102564
Coraliomargarita	CE	numberUniqueCAZyFamilies	4.564102564102564
Coraliomargarita	GH	numberCAZyGenes	81.02564102564102
Coraliomargarita	GH	numberUniqueCAZyFamilies	31.05128205128205
Coraliomargarita	GT	numberCAZyGenes	16.923076923076923
Coraliomargarita	GT	numberUniqueCAZyFamilies	11.17094017094017
Coraliomargarita	PL	numberCAZyGenes	2.3333333333333335
Coraliomargarita	PL	numberUniqueCAZyFamilies	2
Eisenbergiella	CBM	numberCAZyGenes	26.39622641509434
Eisenbergiella	CBM	numberUniqueCAZyFamilies	6.622641509433962
Eisenbergiella	CE	numberCAZyGenes	19.67924528301887
Eisenbergiella	CE	numberUniqueCAZyFamilies	5.7924528301886795
Eisenbergiella	GH	numberCAZyGenes	292.1509433962264
Eisenbergiella	GH	numberUniqueCAZyFamilies	76.94339622641509
Eisenbergiella	GT	numberCAZyGenes	61
Eisenbergiella	GT	numberUniqueCAZyFamilies	11.452830188679245
Eisenbergiella	PL	numberCAZyGenes	4.75
Eisenbergiella	PL	numberUniqueCAZyFamilies	5.0576923076923075
Enterobacter	CBM	numberCAZyGenes	17.240555555555556
Enterobacter	CBM	numberUniqueCAZyFamilies	5.323333333333333
Enterobacter	CE	numberCAZyGenes	9.801111111111112
Enterobacter	CE	numberUniqueCAZyFamilies	5.16
Enterobacter	GH	numberCAZyGenes	65.11333333333333
Enterobacter	GH	numberUniqueCAZyFamilies	39.102222222222224
Enterobacter	GT	numberCAZyGenes	39.77333333333333
Enterobacter	GT	numberUniqueCAZyFamilies	14.965
Enterobacter	PL	numberCAZyGenes	1.6666666666666667
Enterobacter	PL	numberUniqueCAZyFamilies	2.5
Enterococcus	CBM	numberCAZyGenes	10.7466327020579
Enterococcus	CBM	numberUniqueCAZyFamilies	3.8995391447088714
Enterococcus	CE	numberCAZyGenes	6.85968559627398
Enterococcus	CE	numberUniqueCAZyFamilies	3.7880102493325487
Enterococcus	GH	numberCAZyGenes	56.63479909166429
Enterococcus	GH	numberUniqueCAZyFamilies	26.32164633737989
Enterococcus	GT	numberCAZyGenes	20.80070090851811
Enterococcus	GT	numberUniqueCAZyFamilies	6.953411279217293
Enterococcus	PL	numberCAZyGenes	1.981302442249962
Enterococcus	PL	numberUniqueCAZyFamilies	1.6749854816462049
Erysipelatoclostridium	CBM	numberCAZyGenes	15.828188561856903
Erysipelatoclostridium	CBM	numberUniqueCAZyFamilies	5.731155778894473
Erysipelatoclostridium	CE	numberCAZyGenes	14.376405838717396
Erysipelatoclostridium	CE	numberUniqueCAZyFamilies	3.2652548456568558
Erysipelatoclostridium	GH	numberCAZyGenes	55.74156496769562
Erysipelatoclostridium	GH	numberUniqueCAZyFamilies	23.794807370184255
Erysipelatoclostridium	GT	numberCAZyGenes	33.86396267049533
Erysipelatoclostridium	GT	numberUniqueCAZyFamilies	6.9718832256520695
Erysipelatoclostridium	PL	numberCAZyGenes	1.1569200779727096
Erysipelatoclostridium	PL	numberUniqueCAZyFamilies	1.0087719298245614
Escherichia	CBM	numberCAZyGenes	12.323360184119677
Escherichia	CBM	numberUniqueCAZyFamilies	3.5546605293440736
Escherichia	CE	numberCAZyGenes	10.895857307249713
Escherichia	CE	numberUniqueCAZyFamilies	5.705983889528193
Escherichia	GH	numberCAZyGenes	44.622266973532795
Escherichia	GH	numberUniqueCAZyFamilies	27.194476409666283
Escherichia	GT	numberCAZyGenes	34.8970080552359
Escherichia	GT	numberUniqueCAZyFamilies	15.031933256616801
Escherichia	PL	numberCAZyGenes	1.853658536585366
Escherichia	PL	numberUniqueCAZyFamilies	2.7642276422764227
Eubacterium	CBM	numberCAZyGenes	9.412449258751211
Eubacterium	CBM	numberUniqueCAZyFamilies	4.407191842545357
Eubacterium	CE	numberCAZyGenes	7.019124306187021
Eubacterium	CE	numberUniqueCAZyFamilies	2.982825137284197
Eubacterium	GH	numberCAZyGenes	27.854926231224578
Eubacterium	GH	numberUniqueCAZyFamilies	17.061897931613267
Eubacterium	GT	numberCAZyGenes	23.87415076159719
Eubacterium	GT	numberUniqueCAZyFamilies	7.095531210207401
Eubacterium	PL	numberCAZyGenes	3.6341377650452786
Eubacterium	PL	numberUniqueCAZyFamilies	2.103249966541153
Faecalibacterium	CBM	numberCAZyGenes	7.684470492060126
Faecalibacterium	CBM	numberUniqueCAZyFamilies	3.467479881650674
Faecalibacterium	CE	numberCAZyGenes	6.798766272216121
Faecalibacterium	CE	numberUniqueCAZyFamilies	4.176260623636626
Faecalibacterium	GH	numberCAZyGenes	36.84957962575477
Faecalibacterium	GH	numberUniqueCAZyFamilies	20.457351151212727
Faecalibacterium	GT	numberCAZyGenes	21.369829797353532
Faecalibacterium	GT	numberUniqueCAZyFamilies	7.347916620343649
Faecalibacterium	PL	numberCAZyGenes	1.1636447699168784
Faecalibacterium	PL	numberUniqueCAZyFamilies	1.2610041208832803
Faecalicatena	CBM	numberCAZyGenes	16.392857142857142
Faecalicatena	CBM	numberUniqueCAZyFamilies	5.071428571428571
Faecalicatena	CE	numberCAZyGenes	15.857142857142858
Faecalicatena	CE	numberUniqueCAZyFamilies	3.571428571428571
Faecalicatena	GH	numberCAZyGenes	99.32142857142857
Faecalicatena	GH	numberUniqueCAZyFamilies	40.64285714285714
Faecalicatena	GT	numberCAZyGenes	32.714285714285715
Faecalicatena	GT	numberUniqueCAZyFamilies	7
Faecalicatena	PL	numberCAZyGenes	1
Faecalicatena	PL	numberUniqueCAZyFamilies	1
Fusicatenibacter	CBM	numberCAZyGenes	13.4
Fusicatenibacter	CBM	numberUniqueCAZyFamilies	5.6
Fusicatenibacter	CE	numberCAZyGenes	8.2
Fusicatenibacter	CE	numberUniqueCAZyFamilies	3.2
Fusicatenibacter	GH	numberCAZyGenes	89.2
Fusicatenibacter	GH	numberUniqueCAZyFamilies	38
Fusicatenibacter	GT	numberCAZyGenes	25.4
Fusicatenibacter	GT	numberUniqueCAZyFamilies	7.2
Fusicatenibacter	PL	numberCAZyGenes	1
Fusicatenibacter	PL	numberUniqueCAZyFamilies	1
Hungatella	CBM	numberCAZyGenes	15.405555555555555
Hungatella	CBM	numberUniqueCAZyFamilies	4.211111111111111
Hungatella	CE	numberCAZyGenes	16.75
Hungatella	CE	numberUniqueCAZyFamilies	5.261111111111111
Hungatella	GH	numberCAZyGenes	151.98333333333332
Hungatella	GH	numberUniqueCAZyFamilies	55.01111111111111
Hungatella	GT	numberCAZyGenes	31.97222222222222
Hungatella	GT	numberUniqueCAZyFamilies	7.444444444444445
Hungatella	PL	numberCAZyGenes	7.899717514124293
Hungatella	PL	numberUniqueCAZyFamilies	5.916666666666667
Klebsiella	CBM	numberCAZyGenes	14.295734348638913
Klebsiella	CBM	numberUniqueCAZyFamilies	5.211084385876918
Klebsiella	CE	numberCAZyGenes	11.643703547489855
Klebsiella	CE	numberUniqueCAZyFamilies	5.498905658656696
Klebsiella	GH	numberCAZyGenes	63.24967701731187
Klebsiella	GH	numberUniqueCAZyFamilies	36.46023323149879
Klebsiella	GT	numberCAZyGenes	35.3406726399465
Klebsiella	GT	numberUniqueCAZyFamilies	14.679991602450109
Klebsiella	PL	numberCAZyGenes	3.4687284472849327
Klebsiella	PL	numberUniqueCAZyFamilies	3.9705618649133294
Lachnoclostridium	CBM	numberCAZyGenes	13.156986040493504
Lachnoclostridium	CBM	numberUniqueCAZyFamilies	4.628150365389171
Lachnoclostridium	CE	numberCAZyGenes	11.476897198986752
Lachnoclostridium	CE	numberUniqueCAZyFamilies	4.102945164288448
Lachnoclostridium	GH	numberCAZyGenes	57.309572285094674
Lachnoclostridium	GH	numberUniqueCAZyFamilies	28.0896383467279
Lachnoclostridium	GT	numberCAZyGenes	29.176608896907403
Lachnoclostridium	GT	numberUniqueCAZyFamilies	7.432685747088732
Lachnoclostridium	PL	numberCAZyGenes	3.9698294243070364
Lachnoclostridium	PL	numberUniqueCAZyFamilies	2.7651030561478325
Lactobacillus	CBM	numberCAZyGenes	6.171737475573305
Lactobacillus	CBM	numberUniqueCAZyFamilies	2.6291120667520786
Lactobacillus	CE	numberCAZyGenes	3.4690646199552284
Lactobacillus	CE	numberUniqueCAZyFamilies	2.177425764439451
Lactobacillus	GH	numberCAZyGenes	29.739093622621095
Lactobacillus	GH	numberUniqueCAZyFamilies	16.967602498004972
Lactobacillus	GT	numberCAZyGenes	19.622603598331825
Lactobacillus	GT	numberUniqueCAZyFamilies	7.621689257018658
Lactobacillus	PL	numberCAZyGenes	1.9561953198316835
Lactobacillus	PL	numberUniqueCAZyFamilies	1.5272908909272545
Lactococcus	CBM	numberCAZyGenes	6.74
Lactococcus	CBM	numberUniqueCAZyFamilies	4.1
Lactococcus	CE	numberCAZyGenes	4.86
Lactococcus	CE	numberUniqueCAZyFamilies	3.12
Lactococcus	GH	numberCAZyGenes	32.325
Lactococcus	GH	numberUniqueCAZyFamilies	19.34
Lactococcus	GT	numberCAZyGenes	21.98
Lactococcus	GT	numberUniqueCAZyFamilies	5.71
Lactococcus	PL	numberCAZyGenes	1
Lactococcus	PL	numberUniqueCAZyFamilies	1
Massiliomicrobiota	CBM	numberCAZyGenes	4
Massiliomicrobiota	CBM	numberUniqueCAZyFamilies	2
Massiliomicrobiota	CE	numberCAZyGenes	8
Massiliomicrobiota	CE	numberUniqueCAZyFamilies	3
Massiliomicrobiota	GH	numberCAZyGenes	34.8
Massiliomicrobiota	GH	numberUniqueCAZyFamilies	17.4
Massiliomicrobiota	GT	numberCAZyGenes	15.8
Massiliomicrobiota	GT	numberUniqueCAZyFamilies	6.6
Megamonas	CBM	numberCAZyGenes	5.097560975609756
Megamonas	CBM	numberUniqueCAZyFamilies	3.8495934959349594
Megamonas	CE	numberCAZyGenes	7.540650406504065
Megamonas	CE	numberUniqueCAZyFamilies	3.9878048780487805
Megamonas	GH	numberCAZyGenes	27.390243902439025
Megamonas	GH	numberUniqueCAZyFamilies	22.353658536585368
Megamonas	GT	numberCAZyGenes	21.890243902439025
Megamonas	GT	numberUniqueCAZyFamilies	11.715447154471544
Megamonas	PL	numberCAZyGenes	1
Megamonas	PL	numberUniqueCAZyFamilies	1
Merdimonas	CBM	numberCAZyGenes	9.166666666666666
Merdimonas	CBM	numberUniqueCAZyFamilies	3.4166666666666665
Merdimonas	CE	numberCAZyGenes	6.75
Merdimonas	CE	numberUniqueCAZyFamilies	3.3333333333333335
Merdimonas	GH	numberCAZyGenes	48.25
Merdimonas	GH	numberUniqueCAZyFamilies	26.666666666666668
Merdimonas	GT	numberCAZyGenes	21.75
Merdimonas	GT	numberUniqueCAZyFamilies	7.416666666666667
Merdimonas	PL	numberCAZyGenes	12
Merdimonas	PL	numberUniqueCAZyFamilies	8
Odoribacter	CBM	numberCAZyGenes	9.17486383665873
Odoribacter	CBM	numberUniqueCAZyFamilies	4.019760790431617
Odoribacter	CE	numberCAZyGenes	5.9292087472972606
Odoribacter	CE	numberUniqueCAZyFamilies	2.269329720557243
Odoribacter	GH	numberCAZyGenes	65.71661603306238
Odoribacter	GH	numberUniqueCAZyFamilies	29.859827024659932
Odoribacter	GT	numberCAZyGenes	46.17697128937789
Odoribacter	GT	numberUniqueCAZyFamilies	11.681979910775379
Odoribacter	PL	numberCAZyGenes	2.172043010752688
Odoribacter	PL	numberUniqueCAZyFamilies	2.172043010752688
Parabacteroides	CBM	numberCAZyGenes	19.89705252582956
Parabacteroides	CBM	numberUniqueCAZyFamilies	7.195025019268171
Parabacteroides	CE	numberCAZyGenes	13.261638949043526
Parabacteroides	CE	numberUniqueCAZyFamilies	5.511486859073053
Parabacteroides	GH	numberCAZyGenes	146.5489538789823
Parabacteroides	GH	numberUniqueCAZyFamilies	54.16053586298712
Parabacteroides	GT	numberCAZyGenes	54.233289825981174
Parabacteroides	GT	numberUniqueCAZyFamilies	15.278316832508379
Parabacteroides	PL	numberCAZyGenes	4.978454557085072
Parabacteroides	PL	numberUniqueCAZyFamilies	4.293965987618824
Paraprevotella	CBM	numberCAZyGenes	30.279945054945053
Paraprevotella	CBM	numberUniqueCAZyFamilies	10.34084249084249
Paraprevotella	CE	numberCAZyGenes	11.240018315018315
Paraprevotella	CE	numberUniqueCAZyFamilies	4.981318681318681
Paraprevotella	GH	numberCAZyGenes	128.64935897435896
Paraprevotella	GH	numberUniqueCAZyFamilies	56.726282051282055
Paraprevotella	GT	numberCAZyGenes	64.37252747252747
Paraprevotella	GT	numberUniqueCAZyFamilies	15.893589743589743
Paraprevotella	PL	numberCAZyGenes	4.69441391941392
Paraprevotella	PL	numberUniqueCAZyFamilies	3.8464285714285715
Prevotella	CBM	numberCAZyGenes	11.925576223357226
Prevotella	CBM	numberUniqueCAZyFamilies	5.666373263812427
Prevotella	CE	numberCAZyGenes	9.380895130183557
Prevotella	CE	numberUniqueCAZyFamilies	5.096547042252065
Prevotella	GH	numberCAZyGenes	66.96097269660392
Prevotella	GH	numberUniqueCAZyFamilies	39.40642959245845
Prevotella	GT	numberCAZyGenes	36.58316260392324
Prevotella	GT	numberUniqueCAZyFamilies	10.946537295524191
Prevotella	PL	numberCAZyGenes	5.7270371534537166
Prevotella	PL	numberUniqueCAZyFamilies	3.853871727917197
Prevotellamassilia	CBM	numberCAZyGenes	14.073170731707316
Prevotellamassilia	CBM	numberUniqueCAZyFamilies	4.951219512195122
Prevotellamassilia	CE	numberCAZyGenes	7.048780487804878
Prevotellamassilia	CE	numberUniqueCAZyFamilies	3.951219512195122
Prevotellamassilia	GH	numberCAZyGenes	48.19512195121951
Prevotellamassilia	GH	numberUniqueCAZyFamilies	27.4390243902439
Prevotellamassilia	GT	numberCAZyGenes	39.48780487804878
Prevotellamassilia	GT	numberUniqueCAZyFamilies	11.609756097560975
Romboutsia	CBM	numberCAZyGenes	9.08974358974359
Romboutsia	CBM	numberUniqueCAZyFamilies	6.166666666666666
Romboutsia	CE	numberCAZyGenes	14.6125
Romboutsia	CE	numberUniqueCAZyFamilies	2.825
Romboutsia	GH	numberCAZyGenes	33.475
Romboutsia	GH	numberUniqueCAZyFamilies	21.1125
Romboutsia	GT	numberCAZyGenes	25.6625
Romboutsia	GT	numberUniqueCAZyFamilies	7.4
Romboutsia	PL	numberCAZyGenes	1.5
Romboutsia	PL	numberUniqueCAZyFamilies	1.5
Roseburia	CBM	numberCAZyGenes	12.901546336395507
Roseburia	CBM	numberUniqueCAZyFamilies	6.860936707977111
Roseburia	CE	numberCAZyGenes	9.298739648815026
Roseburia	CE	numberUniqueCAZyFamilies	3.8804761246042383
Roseburia	GH	numberCAZyGenes	53.00038602053879
Roseburia	GH	numberUniqueCAZyFamilies	31.714200870764348
Roseburia	GT	numberCAZyGenes	31.387359237142725
Roseburia	GT	numberUniqueCAZyFamilies	8.37786214915472
Roseburia	PL	numberCAZyGenes	1.6031918776365701
Roseburia	PL	numberUniqueCAZyFamilies	1.5485354799731403
Ruminococcus	CBM	numberCAZyGenes	12.615098662465389
Ruminococcus	CBM	numberUniqueCAZyFamilies	6.286753769294768
Ruminococcus	CE	numberCAZyGenes	6.115514495858545
Ruminococcus	CE	numberUniqueCAZyFamilies	3.0294942560237326
Ruminococcus	GH	numberCAZyGenes	44.49116721995202
Ruminococcus	GH	numberUniqueCAZyFamilies	26.76542541881215
Ruminococcus	GT	numberCAZyGenes	18.312152975867555
Ruminococcus	GT	numberUniqueCAZyFamilies	6.744564476658659
Ruminococcus	PL	numberCAZyGenes	3.1771745279809798
Ruminococcus	PL	numberUniqueCAZyFamilies	3.474410734193343
Ruthenibacterium	CBM	numberCAZyGenes	5.5423728813559325
Ruthenibacterium	CBM	numberUniqueCAZyFamilies	4.338983050847458
Ruthenibacterium	CE	numberCAZyGenes	13.885593220338983
Ruthenibacterium	CE	numberUniqueCAZyFamilies	5.262711864406779
Ruthenibacterium	GH	numberCAZyGenes	45.932203389830505
Ruthenibacterium	GH	numberUniqueCAZyFamilies	23.584745762711865
Ruthenibacterium	GT	numberCAZyGenes	21.24576271186441
Ruthenibacterium	GT	numberUniqueCAZyFamilies	5.953389830508475
Ruthenibacterium	PL	numberCAZyGenes	1.2647058823529411
Ruthenibacterium	PL	numberUniqueCAZyFamilies	1.2647058823529411
Selenomonas	CBM	numberCAZyGenes	4.947619047619048
Selenomonas	CBM	numberUniqueCAZyFamilies	3.751190476190476
Selenomonas	CE	numberCAZyGenes	7.475
Selenomonas	CE	numberUniqueCAZyFamilies	3.939285714285714
Selenomonas	GH	numberCAZyGenes	20.941666666666666
Selenomonas	GH	numberUniqueCAZyFamilies	14.932142857142857
Selenomonas	GT	numberCAZyGenes	31.52857142857143
Selenomonas	GT	numberUniqueCAZyFamilies	12.498809523809523
Streptococcus	CBM	numberCAZyGenes	8.384814966072595
Streptococcus	CBM	numberUniqueCAZyFamilies	5.003290453152659
Streptococcus	CE	numberCAZyGenes	6.19382362897281
Streptococcus	CE	numberUniqueCAZyFamilies	3.569464847805074
Streptococcus	GH	numberCAZyGenes	26.9473625130205
Streptococcus	GH	numberUniqueCAZyFamilies	19.945064527495397
Streptococcus	GT	numberCAZyGenes	19.689052446414088
Streptococcus	GT	numberUniqueCAZyFamilies	7.539718955436484
