genus	familyGroup	numberCAZyGenes	numberCAZyGenesSD	numberUniqueCAZyFamilies	numberUniqueCAZyFamiliesSD	N
Anaerosporobacter	GH	127	0	71	0	1
Anaerosporobacter	GT	31	0	6	0	1
Anaerosporobacter	PL	1	0	1	0	1
Anaerostipes	CBM	8.680379746835444	0.8018977813590653	3.16165611814346	0.9243132550238239	4
Anaerostipes	CE	6.8397943037974684	3.177385343146973	2.826344936708861	0.7914707902319019	4
Anaerostipes	GH	21.06579641350211	6.520152914461118	13.287447257383967	3.3821557745644535	4
Anaerostipes	GT	21.09348628691983	7.069924165595331	6.428401898734177	0.6010178466547754	4
Anaerostipes	PL	2.5	0	2.25	0	1
Anaerotignum	CBM	9.96875	0	3.515625	0	1
Anaerotignum	CE	5.484375	0	2.015625	0	1
Anaerotignum	GH	7.265625	0	7.140625	0	1
Anaerotignum	GT	12.453125	0	7.609375	0	1
Anaerotruncus	CBM	6.176765281541704	1.9259466318462024	2.9515808491418247	0.864000275454549	6
Anaerotruncus	CE	4.8467780788919	2.0095137952414324	2.3749473050286056	0.6543455613200928	6
Anaerotruncus	GH	20.75372628726287	12.303532524425384	13.986592893706714	7.263758642335666	6
Anaerotruncus	GT	18.639521228545618	4.7542473116145185	7.292607648298706	0.8403138337410814	6
Anaerotruncus	PL	1	0	1	0	1
Aneurinibacillus	CBM	12	0	2	0	1
Aneurinibacillus	CE	17	0	4	0	1
Aneurinibacillus	GH	15	0	6	0	1
Aneurinibacillus	GT	23	0	7	0	1
Aneurinibacillus	PL	1	0	1	0	1
Arabia	CBM	1	0	1	0	1
Arabia	CE	3	0	2	0	1
Arabia	GH	6	0	5	0	1
Arabia	GT	24	0	6	0	1
Arcobacter	CBM	1.5	0	1	0	1
Arcobacter	CE	2.75	0	2.5	0	1
Arcobacter	GH	9.25	0	6	0	1
Arcobacter	GT	17.75	0	7	0	1
Atopobiaceae gen. incertae sedis	CBM	2.7666666666666666	0.7505553499465135	1.9666666666666666	0.5507570547286103	3
Atopobiaceae gen. incertae sedis	CE	8.333333333333334	4.1198705481281	4.35	0.9962429422585638	3
Atopobiaceae gen. incertae sedis	GH	22.03333333333333	11.260698616574965	12.183333333333334	6.344748484639351	3
Atopobiaceae gen. incertae sedis	GT	17.066666666666666	0.6658328118479399	7.033333333333333	0.9291573243177569	3
Atopobiaceae gen. incertae sedis	PL	3	0	3	0	1
Atopobium	CBM	2.95	0.7158910531638176	2.95	0.7158910531638176	5
Atopobium	CE	3.4	0.8944271909999159	2.575	0.5836308764964376	5
Atopobium	GH	8.783333333333333	2.1759416863101415	9.1	1.6733200530681511	5
Atopobium	GT	13.658333333333333	1.0001735960433178	6.975	1.437228235180481	5
Azospirillum	CBM	3.5306447938026886	0.4250985114001908	1.9869220083035872	0.04050499461948853	9
Azospirillum	CE	2.081829415710995	0.23819444704880072	2.0714428115743906	0.23803818550813033	9
Azospirillum	GH	13.32805735930736	1.7800739212635972	10.517028841041999	0.8748853040914556	9
Azospirillum	GT	23.7621151996152	6.586211439181334	10.25953298650667	1.3654410803351449	9
Azospirillum	PL	1	0	1	0	2
Bacillales gen. incertae sedis	CBM	5	0	2	0	1
Bacillales gen. incertae sedis	CE	5	0	3	0	1
Bacillales gen. incertae sedis	GH	20	0	13	0	1
Bacillales gen. incertae sedis	GT	10	0	7	0	1
Bacillus	CBM	17.720175438596492	5.936605888357775	4.464912280701754	2.840719646350515	19
Bacillus	CE	15.36140350877193	5.082119018991673	4.87280701754386	1.5773200678655008	19
Bacillus	GH	31.68859649122807	15.872754096630041	20.480701754385965	9.928244506777357	19
Bacillus	GT	28.385087719298244	8.70732786103361	7.762280701754386	1.5394788490608284	19
Bacillus	PL	5.2	3.425091239660631	5.9	4.068169121361598	5
Bacteria gen. [Rhodospirillum/Lactobacillus/Azospirillum]	CBM	3.7911392405063293	0	1.9113924050632911	0	1
Bacteria gen. [Rhodospirillum/Lactobacillus/Azospirillum]	CE	2.9177215189873418	0	2.8860759493670884	0	1
Bacteria gen. [Rhodospirillum/Lactobacillus/Azospirillum]	GH	12.386075949367088	0	10.721518987341772	0	1
Bacteria gen. [Rhodospirillum/Lactobacillus/Azospirillum]	GT	25.943037974683545	0	10.08860759493671	0	1
Bacteria gen. incertae sedis	CBM	9.183352677807635	6.786353202358072	3.164930383906535	2.0047413281779036	32
Bacteria gen. incertae sedis	CE	9.391387088406002	9.41705788737466	3.858205435138001	2.68573224120349	32
Bacteria gen. incertae sedis	GH	76.6083108366829	85.98593525048942	23.865466583917296	16.695024573782614	31
Bacteria gen. incertae sedis	GT	25.102117983392507	12.196022076447123	8.620681665856196	3.0432313927438845	32
Bacteria gen. incertae sedis	PL	4.915852665852666	4.673330923501298	3.558119658119658	2.489439079146665	15
Bacteroidaceae gen. incertae sedis	CBM	16.714285714285715	3.087582106650141	6.6571428571428575	1.6524564275338576	5
Bacteroidaceae gen. incertae sedis	CE	16.285714285714285	8.119483998885844	6.442857142857143	2.183191821762862	5
Bacteroidaceae gen. incertae sedis	GH	164.89285714285714	113.02533804778611	60.857142857142854	19.204126363564555	5
Bacteroidaceae gen. incertae sedis	GT	65.90714285714286	33.19784155142423	13.742857142857142	3.0662747457340696	5
Bacteroidaceae gen. incertae sedis	PL	25.5	15.411035007422441	15.125	4.802343178074636	4
Bacteroidales gen. [Coprobacter/Gabonia]	CBM	25.5	0	9.5	0	1
Bacteroidales gen. [Coprobacter/Gabonia]	CE	17	0	7.5	0	1
Bacteroidales gen. [Coprobacter/Gabonia]	GH	161	0	58.5	0	1
Bacteroidales gen. [Coprobacter/Gabonia]	GT	55.75	0	15.25	0	1
Bacteroidales gen. [Coprobacter/Gabonia]	PL	17.5	0	8.25	0	1
Bacteroidales gen. incertae sedis	CBM	12.018900588920468	5.461999485851723	5.085517637581105	1.963482233725484	100
Bacteroidales gen. incertae sedis	CE	9.056394125393759	4.30368103078694	4.537275181319431	1.5888577307281564	100
Bacteroidales gen. incertae sedis	GH	65.43522167548731	43.61516869735155	34.15121358398732	16.212483345549153	100
Bacteroidales gen. incertae sedis	GT	38.96468567728966	14.110996146221662	11.690902515139202	2.0847443118513596	100
Bacteroidales gen. incertae sedis	PL	6.67823769054663	6.2071306827896855	4.0542754794619675	3.187465222624308	54
Bacteroides	CBM	19.822435832766416	8.942737797169881	7.430244044727304	2.340684070907962	64
Bacteroides	CE	14.937977096233373	6.371452907051505	6.504571165775537	1.9780461702697654	64
Bacteroides	GH	149.44204593556205	83.8317254605936	58.53034428655353	18.388708259989183	64
Bacteroides	GT	50.03736628756766	18.758929018862265	13.026286916972285	2.7400068561337503	64
Bacteroides	PL	14.344006506896468	10.032895052005998	9.546788538010048	6.201406908015466	59
Bariatricus	CBM	11.666666666666666	0	3.3333333333333335	0	1
Bariatricus	CE	8	0	2	0	1
Bariatricus	GH	28.333333333333332	0	18	0	1
Bariatricus	GT	32.333333333333336	0	7	0	1
Barnesiella	CBM	13.019417475728156	0	5.786407766990291	0	1
Barnesiella	CE	7.8794498381877025	0	3.918284789644013	0	1
Barnesiella	GH	87.38592233009709	0	42.79045307443366	0	1
Barnesiella	GT	45.583333333333336	0	14.506472491909385	0	1
Barnesiella	PL	1.0833333333333333	0	1.4166666666666667	0	1
Beduini	CBM	8	0	3	0	1
Beduini	CE	12	0	5	0	1
Beduini	GH	48	0	20	0	1
Beduini	GT	31	0	8	0	1
Betaproteobacteria gen. incertae sedis	CBM	4	0	2	0	1
Betaproteobacteria gen. incertae sedis	CE	1	0	1	0	1
Betaproteobacteria gen. incertae sedis	GH	7	0	5.666666666666667	0	1
Betaproteobacteria gen. incertae sedis	GT	35	0	11	0	1
Bifidobacterium	CBM	7.566834952552763	1.5276102854522322	4.3363201970369545	1.1255365484448938	18
Bifidobacterium	CE	3.1223394369234097	1.2850749261075631	2.56010642936631	0.8483355928289484	18
Bifidobacterium	GH	47.54403499590158	20.443567219095257	30.64763853796757	8.994454105165692	18
Bifidobacterium	GT	17.076574738819144	4.715803928686413	6.466704283844131	1.1630451098037882	18
Bifidobacterium	PL	1.0029411764705882	0.006576670522058182	1	0	5
Bilophila	CBM	1.5677655677655677	0	1.4835164835164836	0	1
Bilophila	CE	5.841726618705036	0	2.9676258992805757	0	1
Bilophila	GH	15.118705035971223	0	7.215827338129497	0	1
Bilophila	GT	24.01798561151079	0	11.241007194244604	0	1
Bilophila	PL	2	0	2	0	1
Bittarella	CBM	6	0	3	0	1
Bittarella	CE	8	0	2	0	1
Bittarella	GH	11	0	10	0	1
Bittarella	GT	16	0	6	0	1
Blastococcus	CBM	9	0	3	0	1
Blastococcus	CE	12	0	4	0	1
Blastococcus	GH	20	0	17	0	1
Blastococcus	GT	48	0	13	0	1
Blautia	CBM	11.077401016716156	3.6783425989004366	4.687655914284585	1.5707920899190115	30
Blautia	CE	7.084352823426105	2.86921292235387	3.018679102831314	0.9909693301007219	30
Blautia	GH	63.955368960403135	35.836424314696096	31.88026910930569	11.565984541843855	30
Blautia	GT	25.534669985518192	5.131885175775349	6.711574240940563	0.9126000451414761	30
Blautia	PL	1.688698164256477	0.7612598472462084	1.6125217765416278	0.6512714065139706	13
Bordetella	CBM	9	0	2	0	1
Bordetella	CE	10	0	3	0	1
Bordetella	GH	23	0	17	0	1
Bordetella	GT	40	0	14	0	1
Bordetella	PL	1	0	1	0	1
Brachyspira	CBM	5.616541353383459	1.221422728089754	1.6403508771929824	0.5559632237716079	3
Brachyspira	CE	3.281954887218045	1.1296413856799103	3.1416040100250626	0.9886598606438116	3
Brachyspira	GH	22.843776106934	3.130400643765037	10.276942355889725	2.29268554209489	3
Brachyspira	GT	36.49749373433584	5.236333810638275	13.576858813700918	2.281461196278939	3
Brachyspira	PL	1	0	2	0	1
Bradyrhizobium	CBM	7.611111111111112	2.435590024086997	2	0	2
Bradyrhizobium	CE	11.833333333333332	0.5499719409228696	3	0	2
Bradyrhizobium	GH	33.77777777777778	0.6285393610547066	18.22222222222222	0.9428090415820625	2
Bradyrhizobium	GT	53.66666666666667	6.285393610547092	16.27777777777778	0.235702260395515	2
Bradyrhizobium	PL	1	0	1	0	1
Brevibacillus	CBM	11	0	1	0	1
Brevibacillus	CE	27	0	4	0	1
Brevibacillus	GH	7	0	3	0	1
Brevibacillus	GT	31	0	6	0	1
Brevibacterium	CBM	4	1	1.6666666666666667	0.5773502691896257	3
Brevibacterium	CE	4	1	2.6666666666666665	0.5773502691896257	3
Brevibacterium	GH	7.666666666666667	3.2145502536643185	6.666666666666667	3.2145502536643185	3
Brevibacterium	GT	20	8.717797887081348	6.666666666666667	1.1547005383792515	3
Brevundimonas	CBM	6.393841166936791	0	3.1312803889789302	0	1
Brevundimonas	CE	5.570093457943925	0	2.7538940809968846	0	1
Brevundimonas	GH	25.978159126365053	0	15.338533541341654	0	1
Brevundimonas	GT	18.686821705426357	0	8.258914728682171	0	1
Brevundimonas	PL	3.364485981308411	0	2.5233644859813085	0	1
Budviciaceae gen. incertae sedis	CBM	8	0	2	0	1
Budviciaceae gen. incertae sedis	CE	5	0	4	0	1
Budviciaceae gen. incertae sedis	GH	19	0	14	0	1
Budviciaceae gen. incertae sedis	GT	26	0	14	0	1
Burkholderiales gen. incertae sedis	CBM	1.9955257270693512	0.007749668042813757	1.0011185682326622	0.0019374170107034714	3
Burkholderiales gen. incertae sedis	CE	1.7307519640852973	0.6648779129365777	1.5951739618406284	0.5154866027255343	3
Burkholderiales gen. incertae sedis	GH	7.488590604026846	0.44350788919886347	5.163087248322148	0.20215384537333245	3
Burkholderiales gen. incertae sedis	GT	13.086353467561521	2.925854712325398	8.684116331096197	1.8721784569925375	3
Burkholderiales gen. incertae sedis	PL	1.0012121212121212	0.002099455524325925	1.0012121212121212	0.002099455524325925	3
Butyricicoccus	CBM	4.853636028054632	1.7102172594911762	2.7170727205610925	0.46298407766006566	6
Butyricicoccus	CE	7.568244739756368	1.3810330549434167	2.4799280177187155	0.4046146165171547	6
Butyricicoccus	GH	13.471530084902177	5.767947049082808	10.718526208933186	3.441101089621474	6
Butyricicoccus	GT	12.517751015134737	5.01060656519898	7.02249907715024	0.1999740777902369	6
Butyricicoccus	PL	1.25	0.3535533905932738	1.25	0.3535533905932738	2
Butyricimonas	CBM	5.4375	0.42695628191498325	3	0	4
Butyricimonas	CE	4.625	1.1086778913041726	3.3125	0.6884463184107628	4
Butyricimonas	GH	25.3125	6.510808321552709	14.75	2.533114025595111	4
Butyricimonas	GT	38.625	3.59687364248454	11.875	1.25	4
Butyrivibrio	CBM	16.67686457935599	5.509124575261771	9.250612511136566	4.99453225083429	3
Butyrivibrio	CE	6.90689830724195	1.654607447974565	2.669434898816342	0.5486751056268662	3
Butyrivibrio	GH	45.41102679139621	32.491894628149666	28.223097238131604	17.22840643767014	3
Butyrivibrio	GT	32.248003372788595	13.222371723799219	7.9858963344788085	1.7934156984065819	3
Butyrivibrio	PL	2.2083333333333335	1.473139127471974	1.8333333333333335	0.9428090415820634	2
Caecibacter	CBM	2.875	0	2.75	0	1
Caecibacter	CE	8.75	0	4.125	0	1
Caecibacter	GH	5.375	0	7	0	1
Caecibacter	GT	20.75	0	10.625	0	1
Caecibacter	PL	1	0	1	0	1
Campylobacter	CBM	1.3777924264424233	0.6662644691472279	1.2257409205498	0.41871097721417183	29
Campylobacter	CE	4.066186270028946	1.950779844035092	2.8443303481730244	1.0249937771993782	30
Campylobacter	GH	4.557974008109632	1.355120329439433	3.3310860929305774	1.3485452521141226	30
Campylobacter	GT	24.869969075529653	4.484666479720105	9.063869599357846	1.1523751766694137	30
Campylobacter	PL	1.2361111111111112	0.43501277120460624	1.6388888888888888	0.485912657903775	9
Candidatus Gastranaerophilales gen. incertae sedis	CBM	5.5	2.1213203435596424	1.5	0.7071067811865476	2
Candidatus Gastranaerophilales gen. incertae sedis	CE	2	0	2	0	2
Candidatus Gastranaerophilales gen. incertae sedis	GH	21.5	2.1213203435596424	9.5	0.7071067811865476	2
Candidatus Gastranaerophilales gen. incertae sedis	GT	27.5	6.363961030678928	12	0	2
Candidatus Melainabacteria gen. incertae sedis	CBM	1.8	0.8366600265340756	1.36	0.4979959839195493	5
Candidatus Melainabacteria gen. incertae sedis	CE	1.95	0.11180339887498948	1.95	0.11180339887498948	5
Candidatus Melainabacteria gen. incertae sedis	GH	15.53	2.2648399501951566	7.05	0.9420721840708386	5
Candidatus Melainabacteria gen. incertae sedis	GT	27.75	6.75	11.8	1.0954451150103321	5
Candidatus Stoquefichus	CBM	6.416666666666666	2.0034692133618845	4.416666666666666	0.5892556509887894	2
Candidatus Stoquefichus	CE	10	0	3	0	2
Candidatus Stoquefichus	GH	65.58333333333333	13.317177712346647	22.416666666666664	2.0034692133618837	2
Candidatus Stoquefichus	GT	20	7.0710678118654755	6.666666666666666	0.4714045207910319	2
Candidatus Stoquefichus	PL	1	0	1	0	2
Capnocytophaga	CBM	8	0	3	0	1
Capnocytophaga	CE	8	0	4	0	1
Capnocytophaga	GH	55	0	32	0	1
Capnocytophaga	GT	26	0	9	0	1
Cardiobacterium	CBM	6	0	2	0	1
Cardiobacterium	CE	4	0	3	0	1
Cardiobacterium	GH	20	0	14	0	1
Cardiobacterium	GT	12	0	7	0	1
Cardiobacterium	PL	1	0	1	0	1
Catabacter	CBM	1	0	1	0	1
Catabacter	CE	8	0	3	0	1
Catabacter	GH	12	0	11	0	1
Catabacter	GT	16	0	6	0	1
Caulobacter	CBM	4	0	3	0	1
Caulobacter	CE	25	0	8	0	1
Caulobacter	GH	67	0	47	0	1
Caulobacter	GT	41	0	11	0	1
Caulobacter	PL	11	0	9	0	1
Cedecea	CBM	12	0	3	0	1
Cedecea	CE	10	0	5	0	1
Cedecea	GH	55	0	30	0	1
Cedecea	GT	39	0	16	0	1
Cedecea	PL	2	0	2	0	1
Cellulomonas	CBM	32.5	3.5355339059327378	10.5	4.949747468305833	2
Cellulomonas	CE	10.5	2.1213203435596424	5	1.4142135623730951	2
Cellulomonas	GH	77.5	16.263455967290593	45.5	0.7071067811865476	2
Cellulomonas	GT	44	12.727922061357855	8.5	0.7071067811865476	2
Cellulomonas	PL	3	0	4	0	1
Cetobacterium	CBM	5.1	1.5556349186104046	3.2	0.28284271247461895	2
Cetobacterium	CE	7.9	4.101219330881976	4.8	1.1313708498984758	2
Cetobacterium	GH	19.9	19.657568516986018	13.7	9.475230867899736	2
Cetobacterium	GT	29.2	10.182337649086284	11.7	0.9899494936611668	2
Cetobacterium	PL	4.6	0	3.6	0	1
Christensenella	CBM	2.6666666666666665	0.5773502691896257	2	0	3
Christensenella	CE	4.666666666666667	0.5773502691896257	1.6666666666666667	0.5773502691896257	3
Christensenella	GH	14.333333333333334	2.0816659994661326	10.666666666666666	0.5773502691896257	3
Christensenella	GT	24.333333333333332	2.516611478423583	8.666666666666666	1.1547005383792515	3
Chryseobacterium	CBM	11	0	5	0	1
Chryseobacterium	CE	18	0	6	0	1
Chryseobacterium	GH	55	0	41	0	1
Chryseobacterium	GT	40	0	10	0	1
Chryseobacterium	PL	1	0	1	0	1
Citrobacter	CBM	11.023636363636363	2.8240964326943625	3.5795454545454546	0.8345119076244162	5
