fc,p.val,auc,auc.ci.l,auc.ci.h,pr.shift,pr.n,pr.p,p.adj,mOTU_nr,kingdom,phylum,class,order,family,genus,mOTU
0,0.18594339698333434,0.5113355532375832,0.5009777389662476,0.5216933675089187,0.022675118350316943,0.04757281553398058,0.07024793388429752,0.3078222622329148,ext_mOTU_v31_16241,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0.06637862916666822,0.10999509458951473,0.518071491615181,0.5020580302744728,0.5340849529558891,0.03672269918960122,0.1378640776699029,0.17458677685950413,0.20955419353119634,ext_mOTU_v31_16242,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0.06782447975032505,0.0019015811633096254,0.5221786488004493,0.506665959349367,0.5376913382515316,0.04101741153815294,0.12427184466019417,0.1652892561983471,0.008365373118331097,ext_mOTU_v31_16263,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0,0.07631548518445805,0.4968085533178207,0.4871190361813539,0.5064980704542875,-0.00581521303057049,0.05436893203883495,0.04855371900826446,0.15693267830206925,ext_mOTU_v31_16266,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,1643822 Eggerthellales,1643826 Eggerthellaceae,NA Eggerthellaceae gen. incertae sedis,Eggerthellaceae species incertae sedis
0.01312328363775554,0.42307154323711593,0.5029196421407366,0.48510447319608774,0.5207348110853854,0.009586375671989084,0.19805825242718447,0.20764462809917356,0.5621874072225016,ext_mOTU_v31_16269,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,216572 Oscillospiraceae,459786 Oscillibacter,Oscillibacter species incertae sedis
0.03566351694592227,0.0404820127808959,0.5064335432881328,0.49341950778838695,0.5194475787878787,0.011010591350397184,0.0912621359223301,0.10227272727272728,0.09516654555890802,ext_mOTU_v31_16271,2 Bacteria,976 Bacteroidetes,200643 Bacteroidia,171549 Bacteroidales,1853231 Odoribacteraceae,NA Odoribacteraceae gen. incertae sedis,Odoribacteraceae species incertae sedis
0.07062504955119966,1.9376593603797937e-4,0.5253374989970312,0.5106347557294157,0.5400402422646466,0.04797600898660033,0.10388349514563107,0.1518595041322314,0.0011637771158378638,ext_mOTU_v31_16277,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0,0.5824333608490028,0.5056752988846986,0.49546273637157856,0.5158878613978187,0.011560218246008183,0.05145631067961165,0.06301652892561983,0.6979280540587198,ext_mOTU_v31_16278,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0,0.6676738495164726,0.5066020420444516,0.4963027388071292,0.5169013452817739,0.013626333948487529,0.05145631067961165,0.06508264462809918,0.7602991234378329,ext_mOTU_v31_16279,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0.07220726684026314,0.008710562429421448,0.522896774452379,0.5065465064226092,0.5392470424821488,0.04523589825884616,0.141747572815534,0.18698347107438015,0.028130832763869264,ext_mOTU_v31_16287,2 Bacteria,1239 Firmicutes,526524 Erysipelotrichia,526525 Erysipelotrichales,128827 Erysipelotrichaceae,NA Erysipelotrichaceae gen. incertae sedis,Erysipelotrichaceae species incertae sedis
0.04453285813430916,0.14712771496584073,0.5071787490973281,0.49383625771165496,0.5205212404830012,0.01235456952579636,0.09611650485436893,0.10847107438016529,0.26206292810371273,ext_mOTU_v31_16290,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
-0.07771174687194225,0.02696441032047909,0.4777671908850196,0.4614205872649485,0.49411379450509074,-0.047915830859343644,0.18737864077669902,0.13946280991735538,0.06741102580119772,ext_mOTU_v31_16300,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186806 Eubacteriaceae,1730 Eubacterium,Eubacterium species incertae sedis
-0.09471161640963102,0.0045051531906367005,0.4690759648559737,0.4495634954557864,0.488588434256161,-0.06248294953061059,0.28252427184466017,0.22004132231404958,0.01693731256785172,ext_mOTU_v31_16301,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186806 Eubacteriaceae,1730 Eubacterium,Eubacterium species incertae sedis
-0.1988460742393839,2.0759719899093005e-6,0.44343657225387145,0.41880483755654585,0.46806830695119706,-0.09069846746369253,0.5194174757281553,0.4287190082644628,2.323673193250751e-5,ext_mOTU_v31_16302,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186806 Eubacteriaceae,1730 Eubacterium,Eubacterium species incertae sedis
-0.09336346852912923,0.006337912427331129,0.47278243601059133,0.4522786453046846,0.4932862267164981,-0.04574340046537756,0.30194174757281556,0.256198347107438,0.02221652576840271,ext_mOTU_v31_16304,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186806 Eubacteriaceae,1730 Eubacterium,Eubacterium species incertae sedis
-0.045184985514105463,0.1458644784581464,0.48261102864478855,0.4587915941108038,0.5064304631787733,-0.03868250020059377,0.4766990291262136,0.4380165289256198,0.260755918840788,ext_mOTU_v31_16315,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0.005262937273727247,0.9083763679116539,0.5020525756238465,0.48672887514219665,0.5173762761054964,0.0037270320147637093,0.13883495145631067,0.14256198347107438,0.943829875941961,ext_mOTU_v31_16325,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,1506553 Lachnoclostridium,Lachnoclostridium species incertae sedis
0,0.9533022618615956,0.5050188558132072,0.49248127348348747,0.5175564381429268,0.011546176682981635,0.08349514563106795,0.09504132231404959,0.9720525133888941,ext_mOTU_v31_16326,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0.059619054461633056,0.10466865218250725,0.5178784201235658,0.5022588215780982,0.5334980186690333,0.03616304260611411,0.129126213592233,0.1652892561983471,0.20136449687455008,ext_mOTU_v31_16329,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0.04160006638662855,0.6246796245250088,0.510673092353366,0.48672398506335784,0.5346221996433741,0.024845542806707865,0.4524271844660194,0.4772727272727273,0.7293838865113743,ext_mOTU_v31_16330,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0,0.5636287814017062,0.4993224945839686,0.4886896865555685,0.5099553026123687,-0.001123325042124687,0.06310679611650485,0.06198347107438017,0.6811955210805897,ext_mOTU_v31_16335,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0,0.7545890130167087,0.5011819987162,0.49086495089374893,0.511499046538651,0.002635801973842576,0.05728155339805825,0.05991735537190083,0.8295426091757344,ext_mOTU_v31_16336,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0.06370283294833964,0.054863056829986705,0.5124729198427346,0.4991504352744289,0.5257954044110402,0.023345101500441306,0.09029126213592233,0.11363636363636363,0.11955776764941792,ext_mOTU_v31_16352,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,1506553 Lachnoclostridium,Lachnoclostridium species incertae sedis
0,0.7959461333490963,0.5008600457353768,0.490420609727214,0.5112994817435396,0.0017271122522667104,0.059223300970873784,0.060950413223140494,0.862493884872233,ext_mOTU_v31_16354,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0.04235827950113071,0.2908940058640475,0.5199229719971115,0.5032513599491312,0.5365945840450917,0.04372943913985397,0.15048543689320387,0.19421487603305784,0.42515464548027787,ext_mOTU_v31_16356,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,1263 Ruminococcus,Ruminococcus species incertae sedis
0.04731553691542133,0.023004919410817934,0.5236159030730965,0.5082700181077686,0.5389617880384243,0.0478135280430073,0.11747572815533981,0.1652892561983471,0.06026554686078634,ext_mOTU_v31_16359,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0,0.37363727894047327,0.5094875832464094,0.49726008576466735,0.5217150807281515,0.019250982909411865,0.07475728155339806,0.09400826446280992,0.5125803896328219,ext_mOTU_v31_16366,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
-0.06138928863155398,0.016182813392453307,0.4898419321190725,0.47197796777762646,0.5077058964605186,-0.014274251785284436,0.21262135922330097,0.19834710743801653,0.04729991451503414,ext_mOTU_v31_16367,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,1643822 Eggerthellales,1643826 Eggerthellaceae,NA Eggerthellaceae gen. incertae sedis,Eggerthellaceae species incertae sedis
0,0.25058508717671185,0.507617547941908,0.49800578972842985,0.5172293061553863,0.015132793067479743,0.04271844660194175,0.05785123966942149,0.38493475750701445,ext_mOTU_v31_16373,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0.013944822038101212,0.5822744221671889,0.5053493340287251,0.49173027847242695,0.5189683895850232,0.010661558212308436,0.10194174757281553,0.11260330578512397,0.6979280540587198,ext_mOTU_v31_16386,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0,0.4246329719687003,0.5004528404076065,0.4908761813164524,0.5100294994987606,0.0011052716039476815,0.04951456310679612,0.0506198347107438,0.5621874072225016,ext_mOTU_v31_16387,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0.04814159934461541,0.05900904612594811,0.5207785043729438,0.5080530133589111,0.5335039953869766,0.04276257722859664,0.070873786407767,0.11363636363636363,0.12690810138440806,ext_mOTU_v31_16397,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,543314 Clostridiales Family XIII. Incertae Sedis,NA Clostridiales Family XIII. Incertae Sedis gen. incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis
0.05083245489352348,0.04826208843764884,0.5200854529407044,0.5071755521574963,0.5329953537239125,0.04094519778544492,0.07475728155339806,0.11570247933884298,0.10792423142541968,ext_mOTU_v31_16398,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,543314 Clostridiales Family XIII. Incertae Sedis,NA Clostridiales Family XIII. Incertae Sedis gen. incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis
0,0.28118985268298574,0.50840186953382,0.4982193535908782,0.5185843854767619,0.01653895530771083,0.04854368932038835,0.06508264462809918,0.4164992554778059,ext_mOTU_v31_16403,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0,0.40771864543051917,0.5063959319585974,0.49565285560899913,0.5171390083081957,0.01296638048623927,0.05728155339805825,0.07024793388429752,0.5476767300766048,ext_mOTU_v31_16405,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0,0.8860435484003886,0.5014693492738507,0.4905135728150944,0.5124251257326069,0.003133274492497784,0.06504854368932039,0.06818181818181818,0.9304401867530734,ext_mOTU_v31_16408,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
0.05240876517502945,0.03601438446941677,0.513666452699992,0.49792968780821173,0.5294032175917722,0.023292947123485508,0.1378640776699029,0.16115702479338842,0.0867339088077641,ext_mOTU_v31_16412,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,216572 Oscillospiraceae,459786 Oscillibacter,Oscillibacter species incertae sedis
0.10059229269362045,2.8023687405906623e-4,0.5373590828853406,0.5179627190844526,0.5567554466862287,0.06893003289737623,0.22135922330097088,0.2902892561983471,0.0015955683291802327,ext_mOTU_v31_16442,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0,0.1405458022577472,0.5128279707935489,0.5011026881284301,0.5245532534586678,0.025798363154938622,0.06407766990291262,0.08987603305785125,0.2526233854450383,ext_mOTU_v31_16446,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,946234 Flavonifractor,Flavonifractor species incertae sedis
0.035319281064489214,0.8896387091349511,0.5054255596565835,0.4920951066046647,0.5187560127085024,0.01235456952579636,0.09611650485436893,0.10847107438016529,0.9332205841298474,ext_mOTU_v31_16449,2 Bacteria,NA Bacteria phylum incertae sedis,NA Bacteria class incertae sedis,NA Bacteria order incertae sedis,NA Bacteria fam. incertae sedis,NA Bacteria gen. incertae sedis,Bacteria species incertae sedis
0,0.3648616792450199,0.5075227673914788,0.49782213106009615,0.5172234037228616,0.01519497713231164,0.043689320388349516,0.058884297520661155,0.503758527106247,ext_mOTU_v31_16450,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0,0.02296443752368766,0.5152290780710904,0.5030226759514066,0.5274354801907742,0.03024151488405681,0.06893203883495146,0.09917355371900827,0.06026554686078634,ext_mOTU_v31_16478,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0.09220280488622366,0.004104410673942075,0.5281934526197545,0.5106816113757665,0.5457052938637424,0.05311321511674558,0.1679611650485437,0.22107438016528927,0.015669939976096683,ext_mOTU_v31_16482,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,543314 Clostridiales Family XIII. Incertae Sedis,NA Clostridiales Family XIII. Incertae Sedis gen. incertae sedis,Clostridiales Family XIII. Incertae Sedis species incertae sedis
0.045379964261310524,0.9616204486586595,0.5054737021583888,0.48953885628789473,0.5214085480288829,0.011580277621760393,0.14854368932038836,0.16012396694214875,0.9760388919793574,ext_mOTU_v31_16495,2 Bacteria,1224 Proteobacteria,28221 Deltaproteobacteria,213115 Desulfovibrionales,194924 Desulfovibrionaceae,872 Desulfovibrio,Desulfovibrio species incertae sedis
0.05618379534485029,0.016522372740248484,0.519947544732408,0.5048093533959163,0.5350857360688998,0.03851600738185028,0.11747572815533981,0.1559917355371901,0.04814951819273597,ext_mOTU_v31_16497,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0,0.28939327629367745,0.4965517933081922,0.48690744555933907,0.5061961410570454,-0.006848270881810156,0.05436893203883495,0.047520661157024795,0.4248172535756666,ext_mOTU_v31_16505,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0.0276394221793394,0.06702969231696863,0.5123124448367167,0.49548158391246994,0.5291433057609635,0.021934927385059755,0.1650485436893204,0.18698347107438015,0.14077664591090427,ext_mOTU_v31_16507,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,NA Clostridiales fam. incertae sedis,NA Clostridiales gen. incertae sedis,Clostridiales species incertae sedis
0.07931117187877819,0.1506117310475067,0.5127532496188719,0.496633576896276,0.5288729223414679,0.02385260370697262,0.14660194174757282,0.17045454545454544,0.26634210966210786,ext_mOTU_v31_16530,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,NA Ruminococcaceae gen. incertae sedis,Ruminococcaceae species incertae sedis
0.009531829779117673,0.36051436053420427,0.5110231284602423,0.49608596240641323,0.5259602945140714,0.022235818021343168,0.12135922330097088,0.14359504132231404,0.5013006776899356,ext_mOTU_v31_16531,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
-0.009183172157639797,0.04874043337288917,0.4969660194174757,0.48228915140341816,0.5116428874315333,-0.0030931557409933363,0.129126213592233,0.12603305785123967,0.10832488092657647,ext_mOTU_v31_17389,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,1643822 Eggerthellales,1643826 Eggerthellaceae,NA Eggerthellaceae gen. incertae sedis,Eggerthellaceae species incertae sedis
-0.05988528554849619,0.0029430136139839717,0.4794266027441226,0.45843611618162555,0.5004170893066197,-0.03141900024071248,0.3320388349514563,0.3006198347107438,0.012028499625619136,ext_mOTU_v31_17390,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,1643822 Eggerthellales,1643826 Eggerthellaceae,NA Eggerthellaceae gen. incertae sedis,Eggerthellaceae species incertae sedis
9.464594772382269e-4,0.18281124877292695,0.4999764302334912,0.4827640218807135,0.517188838586269,-0.0024612854047982025,0.18737864077669902,0.18491735537190082,0.3036578078268685,ext_mOTU_v31_17394,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,946234 Flavonifractor,Flavonifractor species incertae sedis
0.07811726212864412,5.587677922929819e-4,0.5170454545454545,0.49464225510938226,0.5394486539815267,0.03221936933322633,0.341747572815534,0.3739669421487603,0.0028517423596299855,ext_mOTU_v31_17396,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,946234 Flavonifractor,Flavonifractor species incertae sedis
-0.0844595967458549,0.1764847876465244,0.47672209740832866,0.455498923796174,0.4979452710204833,-0.04077870496670144,0.33106796116504855,0.2902892561983471,0.297158146721071,ext_mOTU_v31_17397,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,541000 Ruminococcaceae,946234 Flavonifractor,Flavonifractor species incertae sedis
0,0.7619627032410294,0.5030600577710022,0.4901843543992857,0.5159357611427186,0.006878359945438506,0.0912621359223301,0.0981404958677686,0.8347070268665818,ext_mOTU_v31_17400,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,186803 Lachnospiraceae,NA Lachnospiraceae gen. incertae sedis,Lachnospiraceae species incertae sedis
-0.037962649198646975,0.15697467108195215,0.49161167054481264,0.46855610293808747,0.5146672381515378,-0.01561622402310836,0.4174757281553398,0.4018595041322314,0.2731803021479203,ext_mOTU_v31_17403,2 Bacteria,1239 Firmicutes,186801 Clostridia,186802 Clostridiales,31979 Clostridiaceae,1485 Clostridium,Clostridium species incertae sedis
0,0.6632445043325951,0.5075914707534301,0.49793613129974845,0.5172468102071118,0.01616585091871941,0.04271844660194175,0.058884297520661155,0.7572386770134021,ext_mOTU_v31_17406,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
-0.0017048098701076362,0.8613393947069607,0.5033459038754714,0.4892109956631658,0.5174808120877771,0.006242477734092922,0.11359223300970873,0.11983471074380166,0.912278821275652,ext_mOTU_v31_17408,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0,0.43531849395839184,0.4988987402712028,0.48708028789068014,0.5107171926517254,-0.002132311642461679,0.07961165048543689,0.07747933884297521,0.5718064564570534,ext_mOTU_v31_17409,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
-0.006482911184227164,0.4795040918754915,0.5066090628259649,0.48924620813401765,0.5239719175179121,0.017764583166171882,0.18058252427184465,0.19834710743801653,0.6070842294310529,ext_mOTU_v31_17410,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0.04384660031435407,0.6578888823384911,0.5190162882131107,0.4976880810465142,0.5403444953797073,0.036279386985477,0.2922330097087379,0.3285123966942149,0.7552687052487339,ext_mOTU_v31_17411,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0.05071095818040648,0.7459757602807343,0.5156618591029447,0.49091432329640955,0.5404093949094798,0.024931798122442395,0.46990291262135925,0.49483471074380164,0.8209900825436015,ext_mOTU_v31_17413,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0,0.5133775874033364,0.5085874187595282,0.4983638900446639,0.5188109474743924,0.017572013158950496,0.04854368932038835,0.06611570247933884,0.6352725170757366,ext_mOTU_v31_17419,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0.016178147468128647,0.21910584789408286,0.5061000561662521,0.4921989914419194,0.5200011208905848,0.010972478536467947,0.10679611650485436,0.11776859504132231,0.3532230117441434,ext_mOTU_v31_17422,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0.0630462899295988,0.42547301683471295,0.5144888871058333,0.495171901461186,0.5338058727504805,0.02847829575543606,0.23495145631067962,0.2634297520661157,0.5625381497747547,ext_mOTU_v31_17424,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0.027128306153131103,0.9157689537071796,0.5114313367568001,0.4868093652700702,0.53605330824353,0.006274572735296524,0.46893203883495144,0.47520661157024796,0.9493887774564032,ext_mOTU_v31_17425,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
0.010541184593876837,0.2551675773263681,0.5090833868250021,0.4964053135014124,0.5217614601485918,0.017682339725587734,0.0825242718446602,0.10020661157024793,0.38727282537206864,ext_mOTU_v31_17433,2 Bacteria,201174 Actinobacteria,84998 Coriobacteriia,84999 Coriobacteriales,84107 Coriobacteriaceae,102106 Collinsella,Collinsella species incertae sedis
